id,ra,dec,obj_type
7006263800150005914600060103,35.623427,-4.8283716,Error
7006265000150005914600060103,35.666345,-4.7481838,Error
7006358100150005914600060103,35.134415,-4.7049361,Error
7006271600150005914600060103,35.269355,-4.7111316,Error
7006271900150005914600060103,35.273549,-4.6837631,Error
7006275100150005914600060103,35.387943,-4.6302771,No SDSS Spectro
7006376100150005914600060103,35.160705,-4.421582,No SDSS Spectro
7006377200150005914600060103,35.252198,-4.3907959,Error
7006365500150005914600060103,35.3127,-4.532121,Error
7006370100150005914600060103,35.326923,-4.3773906,Error
7006275900150005914600060103,35.513508,-4.5760998,No SDSS Spectro
7006274200150005914600060103,35.659948,-4.6351104,No SDSS Spectro
7006286600150005914600060103,35.631854,-4.5490218,Error
7006287000150005914600060103,35.68506,-4.5630735,Error
7006366300150005914600060103,35.464123,-4.4813506,Error
7006289600150005914600060103,35.533825,-4.4596429,Error
7006288000150005914600060103,35.677266,-4.5051592,Error
7005752300150005914600060103,35.770965,-5.7141642,Error
7005753000150005914600060103,35.774911,-5.6709431,Error
7005750100150005914600060103,35.962907,-5.6306613,Error
7006168700150005914600060103,35.7267,-5.4819243,Error
7005746500150005914600060103,36.097949,-5.7632531,No SDSS Spectro
7005750700150005914600060103,36.055709,-5.5959971,Error
7005722800150005914600060103,36.154633,-5.7531054,Error
7005804700150005914600060103,36.055865,-5.456932,Error
7005799200150005914600060103,36.13163,-5.4719224,Error
7006169600150005914600060103,35.735266,-5.3486663,Error
7006216900150005914600060103,35.812818,-5.3176227,No SDSS Spectro
7006218700150005914600060103,35.70698,-5.2481143,Error
7006224900150005914600060103,35.715688,-5.1201518,Error
7006225000150005914600060103,35.801911,-5.106962,Error
7006223000150005914600060103,35.946709,-5.0980367,Error
7005806600150005914600060103,36.099859,-5.3446668,No SDSS Spectro
7005808300150005914600060103,36.066804,-5.2844724,No SDSS Spectro
7005809200150005914600060103,36.201229,-5.3500448,Error
7005803500150005914600060103,36.232392,-5.366646,No SDSS Spectro
