id,ra,dec,obj_type,prob_Galaxy,prob_Star,prob_QSO
7005740500150005914600060103,35.390966,-5.8118993,No class,-1,-1,-1
7006152700150005914600060103,35.306221,-5.7062606,No class,-1,-1,-1
7006153200150005914600060103,35.383085,-5.6962138,No class,-1,-1,-1
7006153300150005914600060103,35.383221,-5.6483102,No class,-1,-1,-1
7006161700150005914600060103,35.206427,-5.6253384,No class,-1,-1,-1
7006162600150005914600060103,35.250471,-5.5584609,No class,-1,-1,-1
7006165200150005914600060103,35.145589,-5.4989325,No class,-1,-1,-1
7005751700150005914600060103,35.639744,-5.7300788,No class,-1,-1,-1
7005753200150005914600060103,35.585259,-5.7090063,No class,-1,-1,-1
7005754700150005914600060103,35.621606,-5.622532,No class,-1,-1,-1
7006153400150005914600060103,35.440388,-5.6270266,No class,-1,-1,-1
7006165800150005914600060103,35.426829,-5.6012344,No class,-1,-1,-1
7006167300150005914600060103,35.495017,-5.4923095,No class,-1,-1,-1
7006168400150005914600060103,35.698055,-5.4954947,No class,-1,-1,-1
7006188100150005914600060103,35.117405,-5.4124186,No class,-1,-1,-1
7006198500150005914600060103,35.198527,-5.3099807,No class,-1,-1,-1
7006174900150005914600060103,35.241896,-5.3269222,No class,-1,-1,-1
7006174300150005914600060103,35.370949,-5.4114485,No class,-1,-1,-1
7006199000150005914600060103,35.12314,-5.2789485,No class,-1,-1,-1
7006200800150005914600060103,35.123362,-5.1729798,No class,-1,-1,-1
7006199300150005914600060103,35.264865,-5.2600354,No class,-1,-1,-1
7006202000150005914600060103,35.311606,-5.1425207,No class,-1,-1,-1
7006176900150005914600060103,35.516531,-5.3142071,No class,-1,-1,-1
7006170000150005914600060103,35.629542,-5.412469,No class,-1,-1,-1
7006170500150005914600060103,35.583146,-5.3754346,No class,-1,-1,-1
7006170400150005914600060103,35.637272,-5.3601626,No class,-1,-1,-1
7006178000150005914600060103,35.566672,-5.2670173,No class,-1,-1,-1
7006132600150005914600060103,35.511542,-5.1623651,No class,-1,-1,-1
7006178800150005914600060103,35.582767,-5.1742925,No class,-1,-1,-1
7006301000150005914600060103,34.585383,-5.0740403,No class,-1,-1,-1
7006307000150005914600060103,34.534354,-4.9792552,No class,-1,-1,-1
7006308100150005914600060103,34.558132,-4.8781123,No class,-1,-1,-1
7006317200150005914600060103,34.613513,-4.9157481,No class,-1,-1,-1
