specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
7101394300150295916700060103,334.08442,-0.27566311,QSO,,0.75391096,0.00044506995,4,,,,,,,19.6526,19.6526,18.9105,,,,,,[0.9985175 1.2562541 1.2885487 1.2481446 0.9921725],0.8077696,4514,0.8572494,"[2.4624227e-01 2.4314765e-02 3.0946066e-03 1.1052166e-03 2.2104333e-04
 2.2104333e-04 2.2104333e-04 2.2104333e-04 2.2104333e-04 0.0000000e+00]",-3.2653282,-3.439328,0.52684504,0.081784606
7101422500150295916700060103,333.81713,-0.045808218,STAR,F0Ib (36673),-0.00052932533,9.718446e-05,0,,,,,,,18.1853,18.1853,17.4143,,,,,,[0.85584176 3.3901353  4.2659845  5.0004463  3.343726  ],0.76611966,4551,0.85268956,"[0.24561018 0.02238806 0.00109745 0.         0.         0.
 0.         0.         0.         0.        ]",1.7888548,-8.685199,-0.12011103,0.07795665
7100996300150295916700060103,334.30253,-0.41745988,QSO,,0.4426018,7.8077144e-05,0,,,,,,,20.4332,20.4332,19.3382,,,,,,[0.83230597 0.73993486 0.69701797 0.97462064 0.85202247],0.87514776,4543,0.87458074,"[2.6268396e-01 3.3384580e-02 3.5141665e-03 6.5890624e-04 2.1963540e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",2.4441075,-3.3162174,-1.814522,0.07669567
7100995100150295916700060103,334.46043,-0.40721159,QSO,,1.3350044,0.001347399,4,,,,,,,19.234,19.234,18.389,,,,,,[0.97496194 2.066254   1.7678804  2.2740824  1.4810481 ],0.8229906,4532,0.86824495,"[2.5209159e-01 3.0603258e-02 3.7428446e-03 6.6050200e-04 2.2016733e-04
 2.2016733e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.07821537
7100994400150295916700060103,334.49458,-0.4521819,QSO,,4.3087344,0.0005569948,4,,,,,,,20.3261,20.3261,20.1282,,,,,,[0.69407094 0.65056133 0.62784874 0.75984025 0.5879494 ],0.7373211,4527,0.8218078,"[0.22805297 0.02305051 0.00294262 0.00049044 0.         0.
 0.         0.         0.         0.        ]",,,,0.08051338
7100976100150295916700060103,334.78915,-0.56898422,QSO,,0.84274846,0.00094274536,4,,,,,,,19.0474,19.0474,18.4436,,,,,,[1.0602392 1.6595107 1.5322646 1.6455203 1.1387823],1.0474621,4513,0.9030767,"[2.7326995e-01 3.6259118e-02 5.7483972e-03 1.1054609e-03 8.8436878e-04
 6.6327659e-04 4.4218439e-04 4.4218439e-04 4.4218439e-04 2.2109220e-04]",0.29413065,0.9438477,-0.42600933,0.069462135
7101006900150295916700060103,334.65622,-0.29214909,QSO,BROADLINE,0.44162723,6.871907e-05,0,,,,,,,19.1811,19.1811,17.6984,,,,,,[1.1062642 1.9750787 2.4587135 3.348377  2.7563875],1.2056069,4519,1.0286084,"[3.3296534e-01 5.8953412e-02 1.2585560e-02 5.2991831e-03 1.1039964e-03
 2.2079929e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",0.767174,-0.7088496,0.11352511,0.08969586
7101005100150295916700060103,334.85608,-0.26574701,QSO,,2.194883,0.00042096147,4,,,,,,,20.0739,20.0739,19.4762,,,,,,[0.8821591  0.8658411  0.7502535  0.769822   0.64356494],0.7666456,4498,0.8501701,"[2.4727617e-01 2.2974893e-02 2.3685457e-04 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",0.7065759,1.2679105,-0.6362512,0.07606122
7101405900150295916700060103,334.55852,-0.10912591,STAR,A2II (39866),-0.00029807852,7.038688e-05,0,,,,,,,18.0732,18.0732,17.2939,,,,,,[1.8891265 5.7061963 5.243819  5.601424  3.2943153],0.8763241,4525,0.84889674,"[0.23995584 0.02119205 0.00309051 0.0013245  0.00110375 0.000883
 0.000883   0.000883   0.00066225 0.00066225]",7.3077135,-9.813862,-0.11577784,0.08981189
7101407800150295916700060103,334.61897,-0.0035504123,GALAXY,,0.29695636,0.00049946073,4,,,,,,,18.1569,18.1569,18.1858,,,,,,[2.7745514 5.3999863 2.7098758 1.9004976 1.0076628],0.8079928,4537,0.8706227,"[2.5792253e-01 2.8829226e-02 2.4207747e-03 4.4014084e-04 2.2007042e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-30.765581,-39.212864,8.303523,0.094250984
