specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
7707742100151135919000060103,93.563952,21.539341,STAR,WDcooler,-0.00014812441,2.1573187e-05,0,,,,,,,16.0113,16.0113,14.1888,,,,,,[ 4.0016093 32.7923    56.961983  60.43595   60.889694 ],10.619776,4416,2.683228,"[0.72019905 0.46143407 0.27007464 0.13322778 0.05903642 0.03144085
 0.02420267 0.01945261 0.01696449 0.01447636]",-0.06728909,-1.3756355,0.2775405,1.1472148
7707763900151135919000060103,93.435086,21.653844,STAR,CV,0.00013831351,1.0572411e-05,0,,,,,,,15.4529,15.4529,13.9975,,,,,,[ 6.8933   43.053368 59.138874 61.08729  60.985073],8.96486,4427,2.613535,"[0.65824497 0.42386645 0.26009473 0.13805549 0.06383938 0.03925107
 0.02616738 0.01782089 0.01082788 0.00924882]",-0.73990005,-2.0295744,0.06856259,1.1349219
7707766200151135919000060103,93.403469,21.689742,STAR,G0Ib (204867),-2.044913e-05,1.6397624e-05,0,,,,,,,17.8766,17.8766,16.3027,,,,,,[ 2.938819 16.17471  29.894066 38.537582 36.794655],1.064258,4423,0.9138044,"[2.7935863e-01 5.2393857e-02 9.9367658e-03 2.2583560e-03 6.7750679e-04
 6.7750679e-04 6.7750679e-04 4.5167119e-04 2.2583560e-04 2.2583560e-04]",0.5541636,3.5738747,0.35660112,1.1009003
7707771900151135919000060103,93.515221,21.750557,STAR,CV,0.0002992761,1.322598e-05,0,,,,,,,14.9479,14.9479,13.6665,,,,,,[14.356515 49.78088  60.617577 61.86251  61.526077],10.463828,4427,2.9911397,"[0.7455448  0.509136   0.31897137 0.18497631 0.08098353 0.03744642
 0.02323483 0.01579066 0.01195579 0.01037672]",0.72496873,-2.781958,0.22204669,1.0072432
7707778000151135919000060103,93.365715,21.872452,STAR,CV,8.9576766e-05,2.0249567e-05,0,,,,,,,16.2658,16.2658,14.6146,,,,,,[ 4.5826044 30.630184  52.051872  56.541046  56.699097 ],6.1149154,4422,2.169582,"[0.6321138  0.35569105 0.1732159  0.07384824 0.03026197 0.02009937
 0.0133243  0.01106594 0.00925926 0.00767841]",0.13201332,-3.1298516,0.19985564,1.0072069
7707777400151135919000060103,93.506996,21.856968,STAR,CV,-3.4950224e-06,1.8868717e-05,0,,,,,,,16.1013,16.1013,14.6455,,,,,,[ 6.6831646 36.390114  53.950336  57.143013  56.68736  ],4.1110005,4422,1.6760576,"[0.5350045  0.24028906 0.09439928 0.03771454 0.01942186 0.01174345
 0.00790425 0.0063234  0.00519422 0.00361337]",1.8856616,-1.6107045,0.10002751,0.97123766
7707775200151135919000060103,93.567934,21.840187,STAR,CV,0.00035974366,1.1065096e-05,0,,,,,,,14.4335,14.4335,13.2765,,,,,,[24.841726 58.437458 63.589607 63.993996 63.614445],15.869903,4406,3.3538804,"[0.7599728  0.5333182  0.36400726 0.2450136  0.15027198 0.08862194
 0.05530372 0.03694469 0.0274252  0.02175884]",0.21444231,-3.0700574,0.29440993,0.9278763
7707841200151135919000060103,93.362304,21.988406,STAR,A4V (97603),5.9775917e-05,4.6368987e-06,0,,,,,,,14.5628,14.5628,13.827,,,,,,[24.313326 59.195423 62.425655 62.609352 61.402847],11.903715,4423,2.8030396,"[0.72154474 0.46183378 0.29471543 0.16802168 0.08626919 0.05239386
 0.03839205 0.03026197 0.02371274 0.02100271]",0.3355309,-1.7509466,0.56481844,0.62267673
7707842900151135919000060103,93.488754,22.047252,STAR,G3Ib (58526),6.0843944e-05,9.634273e-06,0,,,,,,,17.1921,17.1921,15.7312,,,,,,[ 3.6923218 22.099274  38.35532   45.262417  43.761814 ],1.2495699,4421,0.98634946,"[3.1360143e-01 6.1455037e-02 1.4460009e-02 3.8409398e-03 2.0334388e-03
 1.3556258e-03 6.7781290e-04 2.2593763e-04 2.2593763e-04 2.2593763e-04]",1.9227777,-6.8336954,0.43591833,0.6049459
7707871600151135919000060103,93.505844,22.059711,STAR,CV,0.00038988664,1.0813976e-05,0,,,,,,,16.3539,16.3539,15.1202,,,,,,[ 8.65696  37.64622  50.693974 53.76443  52.334145],5.2016764,4403,2.0225267,"[0.62871397 0.3247902  0.15150827 0.06758902 0.03175323 0.01564981
 0.01156725 0.00725788 0.00453618 0.00204128]",-0.13787428,-0.9516143,0.096249186,0.86206394
7707866900151135919000060103,93.056051,22.192242,STAR,F6II (61295),1.1001707e-05,4.8982956e-06,0,,,,,,,14.0778,14.0778,13.2796,,,,,,[32.670864 60.79109  63.737514 63.89355  62.940987],3.2002883,4416,1.4876213,"[0.5030536  0.19610947 0.07373897 0.02578602 0.01153585 0.00746437
 0.00452386 0.00271432 0.00135716 0.00067858]",-1.7683079,-4.54863,0.9767895,0.30666715
7707867600151135919000060103,93.04686,22.209241,STAR,F6II (61295),0.000116215946,6.109778e-06,0,,,,,,,14.0396,14.0396,13.256,,,,,,[30.619028 60.776352 63.746212 63.90773  63.000645],3.2108784,4417,1.4716611,"[0.51266396 0.18950701 0.07666215 0.02238806 0.01040253 0.00723654
 0.00407056 0.00248756 0.00158299 0.00067843]",0.4951935,-4.43552,1.0283935,0.24665767
