id,ra,dec,class,subclass,z,z_err
6262852000152395926400060103,190.64092,64.59706,STAR,F3/F5V (30743),-0.00031252572,1.6863449e-05
6264462800152395926400060103,190.11218,64.552473,QSO,BROADLINE,0.6352146,7.82823e-05
6264473600152395926400060103,189.61002,64.702271,STAR,F3/F5V (30743),-0.00086653064,9.913913e-06
6264472800152395926400060103,189.70665,64.609727,QSO,BROADLINE,2.8851087,0.0027391913
6264471600152395926400060103,189.25465,64.644851,QSO,BROADLINE,1.7094678,0.0013694098
6264496500152395926400060103,188.9187,64.717142,STAR,F3/F5V (30743),-0.00083280524,1.0331008e-05
6264496100152395926400060103,188.95622,64.704269,STAR,F3/F5V (30743),-0.00071366713,1.6069393e-05
6264441200152395926400060103,188.88167,64.626128,STAR,WDhotter,-3.551854e-05,4.5810106e-05
6264442300152395926400060103,188.74983,64.692036,STAR,M6III (148783),-0.0003748627,5.0890303e-05
6262809900152395926400060103,191.80155,64.164503,GALAXY,,0.8266895,0.00010701871
6262825200152395926400060103,191.28027,64.177773,QSO,BROADLINE,1.8157883,-1.0
6262796000152395926400060103,191.5429,64.103062,QSO,BROADLINE,2.1259673,0.00083239516
6262793300152395926400060103,192.0296,63.994743,QSO,BROADLINE,3.0598962,0.0015531166
6262792800152395926400060103,192.08953,63.938294,QSO,BROADLINE,1.3374909,0.00057734316
6262791300152395926400060103,192.0168,63.841645,QSO,BROADLINE,1.6140949,0.0012921832
6262787300152395926400060103,191.80256,63.891874,QSO,BROADLINE,1.316783,0.0006947791
6262822000152395926400060103,191.44427,64.007051,QSO,BROADLINE,0.70949274,0.0003381254
6262821700152395926400060103,191.45557,63.940924,QSO,STARBURST BROADLINE,0.33510184,9.119821e-05
6262785000152395926400060103,191.75957,63.711248,QSO,BROADLINE,1.0598984,0.00029733867
6262733900152395926400060103,191.63125,63.690696,QSO,BROADLINE,2.1529455,0.0023054546
6262760900152395926400060103,191.23793,63.825127,STAR,G0Va (143761),-0.000119022705,9.243596e-06
6262735500152395926400060103,191.42607,63.793518,QSO,BROADLINE,0.7113479,0.00011358749
6262734500152395926400060103,191.37975,63.73794,QSO,BROADLINE,2.4916635,0.0033611464
6262761600152395926400060103,190.9861,63.79006,QSO,BROADLINE,0.9268106,0.00029470128
6262758800152395926400060103,191.11096,63.753375,QSO,BROADLINE,1.8832499,0.000326502
6262773800152395926400060103,192.34858,63.522322,STAR,F3/F5V (30743),-0.0009927974,1.2716168e-05
6262721900152395926400060103,192.19532,63.463572,QSO,BROADLINE,0.80395633,0.00056663936
6262776200152395926400060103,192.2384,63.608403,QSO,STARBURST BROADLINE,0.5318078,0.00020609655
6262724600152395926400060103,192.11202,63.561627,QSO,BROADLINE,1.0605164,0.00020434526
6262725100152395926400060103,191.94672,63.582427,QSO,,1.0828617,0.0011688129
6262720800152395926400060103,192.26869,63.379555,QSO,BROADLINE,2.7406368,0.0009771459
6262720300152395926400060103,192.33145,63.322244,QSO,,2.6191566,0.0012410609
6262717000152395926400060103,192.15187,63.323716,QSO,BROADLINE,1.2447519,0.00046881643
6262722800152395926400060103,192.11054,63.411824,QSO,BROADLINE,0.98955595,0.00025903765
6262733700152395926400060103,191.48152,63.678659,STAR,F3/F5V (30743),-0.00030450194,1.3320651e-05
6262757300152395926400060103,190.98231,63.689817,QSO,BROADLINE,2.0566056,0.0009431895
6262754600152395926400060103,191.24767,63.612909,QSO,BROADLINE,0.8046533,0.00019098756
6262754500152395926400060103,191.17552,63.612665,QSO,,0.57431084,0.00065245427
6262756500152395926400060103,190.99815,63.601845,QSO,BROADLINE,2.9904168,0.00041680638
6262727700152395926400060103,191.64968,63.490992,QSO,BROADLINE,0.9441918,0.0002532126
6262728000152395926400060103,191.44123,63.43364,QSO,,2.8328238,0.00051759556
6262726000152395926400060103,191.64178,63.386702,QSO,BROADLINE,1.0704798,0.0002594384
6262727900152395926400060103,191.5041,63.385579,STAR,F3/F5V (30743),-0.00051184394,9.1729435e-06
6262714200152395926400060103,191.39619,63.366927,QSO,BROADLINE,1.4306539,0.00022423294
6262716600152395926400060103,192.16451,63.241523,STAR,WDhotter,-0.0002142006,0.00017005428
6262702800152395926400060103,191.95761,63.1992,QSO,BROADLINE,1.2059567,0.00026285756
6262588500152395926400060103,192.37757,63.064497,STAR,F3/F5V (30743),-0.0010249896,1.1662166e-05
6262699400152395926400060103,192.01627,63.017171,QSO,BROADLINE,2.7224736,0.003120052
6262713500152395926400060103,191.41839,63.312432,STAR,F3/F5V (30743),-0.0003879415,9.584721e-06
6262710300152395926400060103,191.5499,63.17426,QSO,BROADLINE,2.4983435,0.00484244
6262737700152395926400060103,190.9177,63.323229,QSO,BROADLINE,1.3156513,0.00034391903
6262739000152395926400060103,190.75402,63.31543,QSO,BROADLINE,4.2717047,0.0022215326
6262704100152395926400060103,191.40905,63.062907,STAR,F3/F5V (30743),-0.0002708187,1.1090312e-05
6209325000152395926400060103,191.11437,63.016009,STAR,WDcooler,-0.00022557631,0.00011426363
6262736400152395926400060103,191.04817,63.177925,QSO,BROADLINE,2.595837,-1.0
6262735600152395926400060103,191.08156,63.081565,QSO,BROADLINE,0.8248663,7.9874764e-05
6262827200152395926400060103,190.99428,64.202552,GALAXY,,0.0,0.0
6262832900152395926400060103,190.56731,64.149747,STAR,WDhotter,-0.00026902114,6.4302156e-05
6264462000152395926400060103,190.24716,64.426511,QSO,,4.289322,-1.0
6264458900152395926400060103,189.94628,64.392673,QSO,BROADLINE,1.6133449,0.00092528824
6264468700152395926400060103,189.6393,64.550606,QSO,,2.1560454,0.0004065703
6264394700152395926400060103,189.68603,64.280548,QSO,BROADLINE,2.6468773,0.0033661195
6264402700152395926400060103,189.60538,64.212779,QSO,BROADLINE,2.5020452,0.0013323374
