id,ra,dec,class,subclass,z,z_err
5645343000150245920100060103,121.1037,25.700674,QSO,,1.8147868,0.0018496495
5645374700150245920100060103,121.47284,25.463226,STAR,WDhotter,2.4749077e-06,0.00025807682
5645296900150245920100060103,121.4038,25.503519,QSO,BROADLINE,1.4218948,0.0006135229
5645367000150245920100060103,121.59826,25.532498,QSO,BROADLINE,1.6524191,0.00074629113
5645361600150245920100060103,121.74717,25.409319,STAR,F6V (16673),2.079817e-05,1.2832235e-05
5645363000150245920100060103,121.71242,25.481827,STAR,F3/F5V (30743),7.8348225e-05,1.6496817e-05
5645368800150245920100060103,121.75289,25.523418,QSO,,1.1784544,0.0011655043
5645370300150245920100060103,121.69086,25.57599,QSO,BROADLINE,2.6375227,0.006214151
5645657900150245920100060103,120.54456,26.476617,QSO,BROADLINE,2.3399951,0.0023789003
5645664000150245920100060103,120.69008,26.553126,QSO,,1.5030291,0.0014592014
5754118700150245920100060103,120.44448,26.835074,QSO,,0.950381,0.0009434286
5645678900150245920100060103,120.47552,26.829007,QSO,,1.692206,0.0004370872
5754120500150245920100060103,120.45713,26.923344,STAR,F3/F5V (30743),0.00057287904,2.012399e-05
5645696100150245920100060103,120.69798,26.846144,STAR,F3/F5V (30743),0.0009427056,1.2242926e-05
5645512200150245920100060103,120.74572,25.937102,QSO,BROADLINE,2.2959015,0.0014455036
5645355600150245920100060103,120.96289,25.77649,QSO,BROADLINE,1.7134562,0.0010753643
5645359200150245920100060103,120.91838,25.924319,STAR,M1 (204445),-0.00014338213,2.4696297e-05
5645510700150245920100060103,120.92515,25.941413,QSO,BROADLINE,1.2218016,0.00090374047
5645589800150245920100060103,121.01459,26.031317,STAR,O8e (188001),-0.004136132,-1.0
5645415300150245920100060103,121.24461,25.700561,STAR,F3/F5V (30743),0.00020893672,1.9431725e-05
5645414900150245920100060103,121.33212,25.699247,QSO,BROADLINE,0.94384134,0.00052899076
5645417900150245920100060103,121.3469,25.808367,QSO,BROADLINE,0.67224133,8.352248e-05
5645433200150245920100060103,121.12551,25.995821,STAR,K5Ve (118100),5.676175e-05,9.047806e-06
5645433900150245920100060103,121.13906,26.013362,QSO,BROADLINE,3.206676,0.0037042717
5645604800150245920100060103,120.7416,26.16688,QSO,BROADLINE,2.5910819,0.001962841
5645592600150245920100060103,120.98144,26.122225,STAR,F3/F5V (30743),-5.4435775e-05,1.8073679e-05
5645595600150245920100060103,120.97047,26.188843,QSO,BROADLINE,0.9126187,0.00028533553
5645607600150245920100060103,120.82958,26.333744,STAR,F3/F5V (30743),0.00010387726,1.9362691e-05
5645596400150245920100060103,120.93872,26.255111,QSO,BROADLINE,1.6304898,0.0007512562
5645606700150245920100060103,120.89532,26.29225,QSO,,1.6793,0.0027316173
5645607500150245920100060103,120.87997,26.313464,STAR,WDcooler,9.108612e-05,0.00013798565
5645434800150245920100060103,121.1486,26.0717,QSO,,1.6116084,0.0013613045
5645434200150245920100060103,121.16274,26.055147,QSO,BROADLINE,2.3887544,0.002488249
5645439900150245920100060103,121.15615,26.088626,QSO,,2.234594,0.0019088619
5645593000150245920100060103,121.03376,26.184832,QSO,BROADLINE,0.7018398,6.4983986e-05
5645439400150245920100060103,121.18545,26.092436,QSO,BROADLINE,3.4055486,-1.0
5645439300150245920100060103,121.19769,26.072851,STAR,F6V (16673),8.3034385e-05,1.1579592e-05
5645435400150245920100060103,121.29102,26.023026,QSO,BROADLINE,2.8745658,0.00070250104
5645435600150245920100060103,121.32946,26.027032,STAR,F3/F5V (30743),0.0006017364,1.18067965e-05
5645371300150245920100060103,121.65826,25.617937,STAR,F3/F5V (30743),-0.00019513689,1.3900046e-05
5645416400150245920100060103,121.40004,25.819967,QSO,,0.73597664,0.0005568947
5645425300150245920100060103,121.3661,25.93865,STAR,G8V (75732),0.00045904538,3.9704802e-05
5645372300150245920100060103,121.81013,25.674539,QSO,,1.9750893,-1.0
5645384100150245920100060103,121.76225,25.790949,STAR,WDhotter,0.00035911452,0.00013229904
5645374300150245920100060103,121.83972,25.7489,QSO,BROADLINE,3.4951384,0.001490814
5645405700150245920100060103,121.72592,25.872195,STAR,WDcooler,8.405077e-05,0.0001752893
5645402900150245920100060103,121.79618,25.823785,STAR,A2II (39866),0.0004346062,1.990421e-05
5645392400150245920100060103,121.84669,25.765001,STAR,K5 (G_19-24),-1.5083505e-05,1.1921454e-05
5645426300150245920100060103,121.42362,25.993901,QSO,BROADLINE,1.1913012,0.00084443606
3504549900150245920100060103,121.49969,26.100777,QSO,BROADLINE,0.1370095,4.849894e-05
5645460600150245920100060103,121.42264,26.241476,STAR,F3/F5V (30743),0.00045813905,1.5948663e-05
5645456900150245920100060103,121.46992,26.170683,STAR,F0IV (81937),0.0003081795,2.27584e-05
5645445300150245920100060103,121.63034,26.078783,QSO,BROADLINE,0.49250722,0.00019753791
5645445000150245920100060103,121.65377,26.081116,STAR,WDhotter,0.00031081736,5.3338237e-05
5645446600150245920100060103,121.66081,26.127613,QSO,BROADLINE,1.0008881,0.0005423513
5645408700150245920100060103,121.9913,25.952746,STAR,sd:F0 (G_84-29),0.0004316975,0.00013947186
