id,ra,dec,class,subclass,z,z_err
6287681900152735930800060103,254.26357,86.0128,2,WDcooler,-8.274892e-05,0.00021740563
6287700700152735930800060103,254.00406,86.021075,1,,0.5643138,0.0002743
6287703600152735930800060103,255.63785,86.23794,2,K0IV (191026),-8.911608e-05,6.8542627e-06
6287707300152735930800060103,253.20928,86.213998,2,K5Ve (118100),0.00013973824,2.8112816e-05
6287661700152735930800060103,252.40937,85.948279,2,K1IVa (142091),-0.001167966,0.00014009782
6287703100152735930800060103,253.07922,86.141122,2,K0IV (191026),-7.135456e-05,6.211776e-06
6287668900152735930800060103,252.82354,86.167946,2,K0IV (191026),-0.00017455891,7.0394794e-06
6287669400152735930800060103,251.21006,86.171508,2,K3V (32147),-0.0001766087,6.2489376e-06
6287633800152735930800060103,250.29231,85.376337,2,M1 (204445),-8.157773e-05,1.6519572e-05
6287643000152735930800060103,251.2666,85.645304,2,G5Iab: (20123),-6.46453e-05,7.961606e-06
6287558900152735930800060103,250.00093,85.273757,1,,1.2457976,0.0005366356
6287550400152735930800060103,248.83522,85.216908,0,,0.0,0.0
6287626200152735930800060103,248.71349,85.298366,2,O8/O9 (167771),-0.00012057771,5.245303e-06
6287626000152735930800060103,248.35506,85.255877,2,G4V (32923),-0.00036642505,1.41582195e-05
6287627100152735930800060103,247.87638,85.302656,2,F3/F5V (30743),-4.832884e-05,1.0010381e-05
6287641800152735930800060103,248.38051,85.611576,2,M1 (204445),-2.0524296e-05,2.2273109e-05
6287633400152735930800060103,247.5909,85.566931,2,M5III (221615),-7.545313e-05,2.638555e-05
6287665900152735930800060103,248.99532,85.992282,2,K5 (G_19-24),-0.00011822854,7.1549066e-06
6287665400152735930800060103,248.5683,85.964876,2,K0IV (191026),-1.2540223e-05,8.817056e-06
6287667200152735930800060103,248.37569,86.054337,2,K0IV (191026),-0.00018786934,7.2226453e-06
6287658500152735930800060103,247.27379,85.717378,1,,0.8039458,0.00047091648
6287651600152735930800060103,246.22212,85.760518,2,G5Iab: (20123),-6.9521666e-05,7.3593474e-06
6287666300152735930800060103,246.59213,85.957823,2,K4III (136726),-8.46813e-05,6.9354755e-06
6287666500152735930800060103,246.53812,85.980267,2,M5III (221615),-0.00030760388,3.3806693e-05
6287664600152735930800060103,246.63219,85.911239,1,,0.50387484,4.6959143e-05
6287666800152735930800060103,246.2269,86.014684,2,G4V (32923),-0.00025329288,7.881321e-06
6287549700152735930800060103,247.72287,85.12612,2,WDhotter,-0.00017124729,6.745651e-05
6287546900152735930800060103,245.91565,85.007503,2,F3/F5V (30743),-0.00013800693,1.1256869e-05
6287623700152735930800060103,244.05144,85.032195,1,BROADLINE,0.35705626,0.00010778576
6287623400152735930800060103,243.91224,84.981016,2,G3Ib (58526),-0.00022756383,7.0660094e-06
6287484000152735930800060103,242.2513,84.839906,2,F3/F5V (30743),-2.447101e-05,5.7778275e-06
6287483300152735930800060103,240.89674,84.811295,1,BROADLINE,2.5245745,0.0020368213
6287487200152735930800060103,239.75958,84.812337,2,A4V (136729),-0.0008085317,6.307454e-06
6287630800152735930800060103,246.82899,85.346379,1,,0.6168136,0.00017196029
6287624700152735930800060103,245.50374,85.201808,1,BROADLINE,1.210409,0.00036313492
6287649400152735930800060103,245.17533,85.505145,1,BROADLINE,0.2591231,9.845828e-05
6287624500152735930800060103,244.87787,85.11226,2,K0IV (191026),-0.00012036873,7.735728e-06
6287628200152735930800060103,244.00997,85.234672,2,F3/F5V (30743),-5.6740795e-05,5.726649e-06
6287627800152735930800060103,243.51542,85.087871,2,F6V (16673),-2.491783e-06,6.677178e-06
6287655500152735930800060103,245.2548,85.728162,2,F8V (30562),-6.355217e-05,7.525301e-06
6287652800152735930800060103,243.18422,85.625619,1,BROADLINE,0.51958513,0.00018088598
6287656800152735930800060103,243.64888,85.822205,2,WDcooler,1.1185796e-06,0.0002078226
6288992500152735930800060103,241.36662,85.860568,2,K0V (10780),-0.00016585988,7.871607e-06
6287648100152735930800060103,242.60443,85.475215,2,K0IV (191026),-0.00018894649,7.580533e-06
6287651900152735930800060103,241.52469,85.499217,0,,0.0,0.0
6287513200152735930800060103,240.40103,85.480073,1,BROADLINE,1.1154293,0.0004132616
6287486100152735930800060103,242.73349,85.010319,2,sd:F0 (G_84-29),4.9164813e-05,0.00016250029
