specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
5753114900150165916800060103,113.49664,28.883224,QSO,BROADLINE,1.4806277,0.0015433781,0,,,,,,,20.2523,20.2523,19.8824,,,,,,[3.3265564 6.673237  5.692156  5.883706  3.934702 ],1.2907706,4524,1.021696,"[3.2973093e-01 7.0136748e-02 1.8085575e-02 6.3961181e-03 2.2055581e-03
 1.1027791e-03 2.2055580e-04 2.2055580e-04 0.0000000e+00 0.0000000e+00]",-2.8158298,0.7422085,2.5199,0.048489556
5758296700150165916800060103,113.51793,29.025595,QSO,BROADLINE,0.4038482,7.6776654e-05,0,,,,,,,18.9488,18.9488,18.1861,,,,,,[ 8.355266 20.110023 16.734411 17.231157 13.619725],1.8944888,4528,1.1233118,"[0.37395328 0.10511238 0.03966505 0.01983253 0.00991626 0.00308506
 0.00176289 0.00132217 0.00088145 0.00066108]",-0.75828654,0.27089652,-0.42732862,0.057835575
5753171600150165916800060103,113.32243,29.174448,STAR,F6V (16673),3.9706687e-05,1.653958e-05,0,,,,,,,19.0165,19.0165,18.2309,,,,,,[ 3.9852586 15.897785  16.968546  18.312325  12.548846 ],0.98239726,4508,0.9214673,"[2.8185242e-01 4.1435853e-02 5.7611344e-03 2.2158211e-03 6.6474627e-04
 4.4316420e-04 2.2158210e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-0.16864353,-1.841072,0.11142783,0.0611769
5758311800150165916800060103,113.40817,29.193052,GALAXY,,0.0,0.0,134,,,,,,,20.3062,20.3062,19.9925,,,,,,[0. 0. 0. 0. 0.],0.0,0,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.7298061,-1.2237393,-0.07127739,0.059383746
5758471300150165916800060103,113.21169,29.477618,STAR,M1 (204445),0.00013067672,1.8215933e-05,0,,,,,,,19.2489,19.2489,17.4484,,,,,,[ 2.3242958 10.455252  14.988992  25.980738  23.397903 ],2.1695015,4498,1.3696467,"[4.6990895e-01 1.6055962e-01 4.4192761e-02 9.9933380e-03 2.6648901e-03
 1.3324451e-03 2.2207417e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-10.977883,-0.31009266,1.006419,0.07421073
5758314800150165916800060103,113.29079,29.305935,STAR,F3/F5V (30743),0.00026947618,9.284425e-06,0,,,,,,,17.5614,17.5614,16.7736,,,,,,[12.383633 38.41452  42.63306  44.09295  33.99187 ],1.3465418,4533,0.9982151,"[0.3190833  0.06787131 0.01873072 0.00925518 0.00330542 0.00066108
 0.         0.         0.         0.        ]",6.472244,-14.270787,0.85856867,0.06140399
5758315600150165916800060103,113.25448,29.361456,QSO,BROADLINE,1.8805158,0.0018594331,0,,,,,,,21.2209,21.2209,20.2142,,,,,,[1.2808892 3.1355495 2.7032375 3.9111001 3.0068016],1.1554316,4493,1.0291333,"[0.33466578 0.06928714 0.01088163 0.00155452 0.         0.
 0.         0.         0.         0.        ]",,,,0.06543224
5758315900150165916800060103,113.28621,29.375397,QSO,BROADLINE,1.3013202,0.00072308246,0,,,,,,,20.6155,20.6155,19.3866,,,,,,[1.4824063 4.535164  6.043625  8.009017  5.834643 ],1.2923934,4484,1.040155,"[3.3555853e-01 7.7659100e-02 1.8469069e-02 3.3377837e-03 6.6755677e-04
 2.2251891e-04 2.2251891e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",1.613609,-0.7516709,1.91293,0.06464543
5758317000150165916800060103,113.34315,29.379159,QSO,BROADLINE,1.8640901,0.0011214094,0,,,,,,,20.5582,20.5582,19.8355,,,,,,[1.2030319 2.3683264 1.9819856 3.549874  2.8987942],1.2858164,4494,1.0397134,"[3.3947602e-01 7.4600354e-02 1.5319716e-02 5.1065721e-03 1.1101243e-03
 2.2202487e-04 2.2202487e-04 2.2202487e-04 2.2202487e-04 0.0000000e+00]",-0.9337387,-2.2332284,-1.070791,0.06154171
5758303300150165916800060103,113.55462,29.248025,QSO,BROADLINE,1.1723319,0.00045393477,0,,,,,,,19.9358,19.9358,20.1234,,,,,,[3.0460317 6.635677  5.6230874 5.1002965 3.6667895],1.1949047,4511,0.9863473,"[0.3145322  0.06370272 0.01526211 0.00398142 0.00132714 0.
 0.         0.         0.         0.        ]",-0.58736444,-6.3921494,0.26573244,0.055256404
