id,ra,dec,class,subclass,z,z_err
6201815100151985927300060103,198.04613,57.706791,STAR,F8V (G_243-63),-0.00014590082,1.7541279e-05
6201816800151985927300060103,197.78878,57.749523,STAR,M5III (221615),-2.7763097e-05,1.2414697e-05
6201808400151985927300060103,198.07388,57.655103,STAR,G8V (101501),9.6176125e-05,7.1933214e-06
6201765000151985927300060103,197.90459,57.614078,STAR,M3III (44478),-0.0002600089,1.2143056e-05
6201764200151985927300060103,197.83264,57.542327,STAR,G8V (101501),-3.3740358e-05,6.78967e-06
6201787200151985927300060103,197.4005,57.521253,STAR,F3/F5V (30743),-0.0009370042,1.3950816e-05
6201641900151985927300060103,198.21203,56.904603,STAR,G4V (32923),5.965808e-05,7.540742e-06
6201638200151985927300060103,198.12377,56.803802,STAR,F6III (61064),-0.00035889508,4.378314e-05
6201751700151985927300060103,198.19829,57.157297,STAR,M4.5:III (123657),-0.00012464679,6.895036e-05
6201752200151985927300060103,198.07331,57.241959,STAR,G8V (75732),-8.613927e-05,6.475349e-06
6201754400151985927300060103,197.96376,57.30826,GALAXY,,0.33160043,0.00012176027
6201753400151985927300060103,197.8164,57.215526,STAR,K5 (G_19-24),-6.778798e-05,6.7978044e-06
6201759000151985927300060103,197.75035,57.255379,QSO,,0.25624672,5.3079482e-05
6201750700151985927300060103,198.1506,57.065404,STAR,K3V (32147),-8.560061e-05,9.258669e-06
6201642400151985927300060103,198.20771,57.011306,STAR,G8V (101501),-3.808256e-05,5.9216004e-06
6201738300151985927300060103,198.1474,57.002071,STAR,G0 (63791),-0.00032860547,1.1301189e-05
6201753100151985927300060103,197.87995,57.181973,STAR,G8V (101501),2.7007705e-05,6.6738835e-06
6201747800151985927300060103,197.75424,57.196078,QSO,,0.74722505,6.5894244e-05
6201747700151985927300060103,197.68265,57.161445,STAR,F3/F5V (30743),-0.0006943405,1.772518e-05
6201761000151985927300060103,197.5001,57.392929,STAR,F3/F5V (30743),-2.459306e-05,2.625547e-05
6201759300151985927300060103,197.69363,57.284678,GALAXY,,0.011469998,2.0087482e-05
6201786200151985927300060103,197.32841,57.436714,GALAXY,,0.048369944,5.8541176e-05
6201776800151985927300060103,197.09463,57.424965,STAR,M4.5:III (123657),-0.00016320402,1.8087267e-05
6201749400151985927300060103,197.42276,57.239431,STAR,K3V (32147),2.7288304e-05,6.3670745e-06
6201771200151985927300060103,197.12392,57.239157,STAR,F3/F5V (30743),-8.3288556e-05,1.3477939e-05
6201772200151985927300060103,196.98497,57.291039,STAR,M3III (44478),-1.2669723e-05,1.640972e-05
6201771100151985927300060103,197.07143,57.210254,STAR,M5III (221615),-0.00022921151,3.9392024e-05
6201741700151985927300060103,197.4739,56.91829,STAR,K5Ve (118100),2.9854527e-05,6.970217e-06
6201741300151985927300060103,197.56267,56.866289,QSO,BROADLINE,1.4838852,0.0014169923
6200896800151985927300060103,197.65074,56.768946,QSO,,1.4989703,0.00088078895
6201745100151985927300060103,197.46904,57.089707,STAR,M1 (204445),1.4741108e-06,1.4106246e-05
6201744500151985927300060103,197.26352,57.063349,STAR,F3/F5V (30743),3.205864e-06,1.7901684e-05
6200930600151985927300060103,197.12637,57.015903,STAR,M4.5:III (123657),0.000203834,0.000267757
6200906600151985927300060103,197.31014,56.945832,GALAXY,,0.3585446,5.8487207e-05
6200929600151985927300060103,197.11557,56.907255,STAR,K0IV (191026),1.253821e-05,7.24387e-06
6201857500151985927300060103,197.22762,58.241411,STAR,F0III (89025),-0.0004218582,6.3161446e-05
6201857700151985927300060103,197.14161,58.259703,STAR,K5 (G_19-24),-5.9563332e-05,1.7217648e-05
6208204200151985927300060103,196.68096,58.392532,STAR,F3/F5V (30743),-0.00087612495,4.4477376e-05
6208214500151985927300060103,196.31136,58.482266,STAR,CV,-0.00012304918,8.911334e-05
6208149800151985927300060103,196.55008,58.238891,STAR,K5 (G_19-24),1.4817456e-05,8.710024e-06
6208205400151985927300060103,196.55864,58.351135,QSO,,1.1106817,0.0001977082
6208205300151985927300060103,196.46095,58.333862,STAR,G4V (32923),-4.69356e-05,8.096113e-06
