id,ra,dec,class,subclass,z,z_err
6224039800151735929600060103,216.07588,53.068498,1,BROADLINE,2.866872,0.001181351
6224044200151735929600060103,216.01874,53.115213,2,F3/F5V (30743),-0.00035159927,9.769127e-06
6224040400151735929600060103,215.84612,52.958761,1,BROADLINE,1.9685909,0.00087310246
6224045900151735929600060103,215.6813,53.08889,1,BROADLINE,1.363384,0.0013340435
6223840900151735929600060103,215.65231,53.027296,2,F3/F5V (30743),-0.0002438641,7.836987e-06
6223842700151735929600060103,215.51167,53.009469,1,BROADLINE,1.3932055,0.00039410323
6223830700151735929600060103,215.76732,52.775029,1,BROADLINE,0.99915034,0.00016447906
6223841400151735929600060103,215.41235,52.91631,1,,1.8621789,0.001260238
6223836700151735929600060103,215.4509,52.851207,1,BROADLINE,1.418422,0.00025767327
6222190000151735929600060103,215.84167,52.376235,0,,0.0,0.0
6223831300151735929600060103,215.67747,52.73767,1,BROADLINE,2.1944385,0.00091729773
6223829300151735929600060103,215.52727,52.721593,1,BROADLINE,1.8452163,0.0007507796
6223837800151735929600060103,215.30541,52.824959,1,BROADLINE,2.6303287,0.0009037627
6223827100151735929600060103,215.50613,52.54727,1,BROADLINE,2.123729,0.0017722716
6223816500151735929600060103,215.41086,52.556803,1,BROADLINE,2.6000335,0.001238995
6223835600151735929600060103,215.27186,52.684241,1,BROADLINE,1.7944098,0.0012331657
6223837000151735929600060103,215.25092,52.728411,1,BROADLINE,1.6114645,0.0007618983
6223822800151735929600060103,215.18137,52.603177,1,STARBURST BROADLINE,0.3371515,0.00011048737
6223824600151735929600060103,215.04269,52.674882,1,BROADLINE,0.5482468,9.392001e-05
6224209500151735929600060103,214.99975,54.215374,1,BROADLINE,2.4085069,0.0010703567
6224223500151735929600060103,214.54455,54.217,1,BROADLINE,3.5162556,0.00092248275
6224227300151735929600060103,214.35649,54.331356,0,,0.0,0.0
6224080500151735929600060103,215.66911,53.503963,2,F3/F5V (30743),-0.00088345085,6.2013573e-06
6224090100151735929600060103,215.47381,53.768108,2,F3/F5V (30743),-0.0002800642,7.714767e-06
6224090900151735929600060103,215.25313,53.759823,1,BROADLINE,1.3624744,0.00045092648
6224090800151735929600060103,215.2761,53.735267,1,BROADLINE,1.0089544,0.00022457767
6224088400151735929600060103,215.09565,53.711922,2,F0II (25291),-0.0007644012,8.137065e-05
6224053700151735929600060103,215.77393,53.373914,1,BROADLINE,2.002781,0.00031875545
6224081300151735929600060103,215.58614,53.501491,1,BROADLINE,1.2294285,0.0004986249
6224078100151735929600060103,215.49981,53.435891,1,BROADLINE,2.7280786,0.0014923902
6224049500151735929600060103,215.55869,53.254652,1,BROADLINE,2.0267053,0.0009836245
6224047300151735929600060103,215.73077,53.166745,2,F3/F5V (30743),-6.883202e-05,1.1096974e-05
6224048300151735929600060103,215.65046,53.15641,1,BROADLINE,0.51151943,8.0143174e-05
6224076500151735929600060103,215.46358,53.299873,1,,1.1704284,0.0008563766
6224083200151735929600060103,215.43473,53.555935,1,BROADLINE,1.2497156,0.00052448345
6224080200151735929600060103,215.31567,53.524662,1,BROADLINE,0.923339,0.00025156685
6224079000151735929600060103,215.25017,53.360982,1,BROADLINE,0.6781603,0.0002553358
6224084400151735929600060103,215.16052,53.404593,1,STARBURST BROADLINE,0.26533842,0.00010253092
6223991400151735929600060103,214.85113,53.532669,1,BROADLINE,1.3001442,0.0008724772
6224191600151735929600060103,215.06398,54.004024,1,BROADLINE,2.0596128,0.0015481524
6224195500151735929600060103,214.85113,54.063524,1,BROADLINE,3.2897635,0.00048463774
6224190600151735929600060103,214.92398,53.938338,1,BROADLINE,1.2175947,0.00049218914
6224193100151735929600060103,214.73414,53.979162,1,BROADLINE,0.9789733,0.0001452512
6224091300151735929600060103,215.15154,53.785257,2,A2II (39866),-0.0006089412,9.94066e-06
6224187100151735929600060103,214.89302,53.823454,2,F3/F5V (30743),-0.0007993194,1.1173968e-05
6224187500151735929600060103,214.77185,53.898374,1,BROADLINE,2.433229,0.0016618968
6224186800151735929600060103,214.81661,53.823388,1,BROADLINE,2.21658,0.0016849582
6224195600151735929600060103,214.81361,54.058039,2,F0IV (81937),4.8083737e-05,7.578612e-06
6224221300151735929600060103,214.34619,54.111539,1,BROADLINE,0.85853255,0.0001908224
6224195100151735929600060103,214.45672,54.029192,2,A2II (39866),-0.00066935597,9.6912645e-06
6224221600151735929600060103,214.16365,54.087602,1,BROADLINE,1.0307798,0.0006713399
6224023100151735929600060103,214.24902,53.968527,1,BROADLINE,0.7216577,9.783993e-05
6224183000151735929600060103,214.92128,53.613781,1,BROADLINE,0.6462844,5.6863253e-05
6224183100151735929600060103,214.864,53.624342,1,BROADLINE,2.3738873,0.0010462551
6224183600151735929600060103,214.84612,53.660125,1,BROADLINE,1.8481861,0.0016812333
6224186300151735929600060103,214.67732,53.807976,1,BROADLINE,2.3419504,-1.0
6223999700151735929600060103,214.53176,53.701246,1,BROADLINE,3.0079124,0.00088382495
6224000500151735929600060103,214.45989,53.754941,1,BROADLINE,2.187497,0.0024502696
6223998400151735929600060103,214.34085,53.684075,1,BROADLINE,0.19386514,7.276158e-05
6224001400151735929600060103,214.46831,53.813749,1,BROADLINE,2.098298,0.0003913058
6224022900151735929600060103,214.10713,53.910702,1,STARBURST BROADLINE,0.26258782,6.0247152e-05
6224021100151735929600060103,213.92146,53.851186,1,,2.4316676,0.0019306305
6224020900151735929600060103,213.87012,53.821162,2,F3/F5V (30743),-0.0006309417,1.0166331e-05
6224021300151735929600060103,213.84169,53.842647,1,BROADLINE,0.9709427,0.00010115085
6223842900151735929600060103,215.46642,53.04606,2,A2II (39866),-0.00085171906,1.1193768e-05
6223870200151735929600060103,215.31949,53.102004,0,,-0.007972719,0.00017361704
6223865000151735929600060103,215.21849,52.939553,1,BROADLINE,0.67761153,7.3766285e-05
6223866200151735929600060103,215.13855,53.055726,2,F3/F5V (30743),-0.0001169592,1.0250275e-05
6223867700151735929600060103,214.96998,53.034503,1,BROADLINE,1.899275,0.00075341
6223874000151735929600060103,215.10339,53.276415,2,F3/F5V (30743),-0.00051706104,9.2008195e-06
6223873200151735929600060103,215.04371,53.206622,1,,2.6014185,0.0023153566
6223881500151735929600060103,214.85186,53.38766,1,BROADLINE,2.942732,0.0020525747
6223875400151735929600060103,214.77036,53.09984,1,,1.8225088,0.0010423004
6223877600151735929600060103,214.73418,53.168643,1,BROADLINE,0.6103915,0.00016762999
6223985600151735929600060103,214.53222,53.298329,1,BROADLINE,2.2801669,0.002349978
6223985900151735929600060103,214.46137,53.270792,1,,1.2138077,0.00081063126
6223877800151735929600060103,214.57276,53.188004,1,BROADLINE,2.2353687,0.0008908378
6223864300151735929600060103,215.15509,52.87407,1,BROADLINE,1.9090647,0.0006084777
6223867200151735929600060103,214.89827,52.952972,1,BROADLINE,3.2129314,0.0018447391
6223850200151735929600060103,214.93958,52.779996,0,,0.31939033,0.00013753647
6223851500151735929600060103,214.79578,52.856956,2,F3/F5V (30743),-3.1340405e-05,1.0105458e-05
6223855100151735929600060103,214.62393,52.814855,2,F3/F5V (30743),-0.00041824847,8.3588975e-06
6223862200151735929600060103,214.62296,53.03549,1,BROADLINE,2.0056612,0.0016142611
