specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
7013910800150455916900060103,29.399129,-3.2023754,STAR,WDhotter,-2.2902494e-05,7.944025e-05,0,,,,,,,20.2583,20.2583,20.1203,,,,,,[ 3.2962637 12.160162   8.455831   6.535948   3.40678  ],1.2545366,4518,1.0043179,"[3.2279462e-01 6.9865137e-02 1.5918639e-02 3.9796596e-03 1.5476453e-03
 2.2109220e-04 2.2109220e-04 2.2109220e-04 2.2109220e-04 2.2109220e-04]",-6.0458364,-7.056012,1.504804,0.025246672
7007813400150455916900060103,29.710915,-3.4642711,QSO,BROADLINE,0.6212515,8.222257e-05,0,,,,,,,19.5517,19.5517,18.9954,,,,,,[ 3.9725134 16.443893  13.642744  15.75576   10.149393 ],2.0200293,4520,1.3374863,"[4.5518765e-01 1.4856513e-01 3.5099339e-02 9.4922734e-03 1.9867551e-03
 1.5452539e-03 2.2075055e-04 2.2075055e-04 0.0000000e+00 0.0000000e+00]",-0.40247247,-0.5539148,-0.32523698,0.027324095
7007816100150455916900060103,29.807101,-3.4323107,STAR,WDcooler,3.5675093e-05,4.696436e-05,0,,,,,,,19.4164,19.4164,19.2327,,,,,,[ 4.9231963 17.560293  15.475571  13.653191   7.721813 ],1.5345842,4523,1.0818607,"[0.35534453 0.09341872 0.02517668 0.00927562 0.00353357 0.00132509
 0.0004417  0.         0.         0.        ]",-43.476692,-26.325998,4.2669,0.025613016
7013904200150455916900060103,29.698679,-3.3238338,QSO,BROADLINE,1.426789,0.0007347358,0,,,,,,,20.4575,20.4575,19.6774,,,,,,[ 4.807584  10.573792   9.906183  10.464685   6.2192163],1.3519106,4513,1.0593841,"[0.34578818 0.0736237  0.01790847 0.00663277 0.00243201 0.00088437
 0.         0.         0.         0.        ]",-1.5327778,0.016886432,2.1704855,0.026356969
7013903700150455916900060103,29.745164,-3.3435418,QSO,,1.4382521,0.00038020898,0,,,,,,,19.4903,19.4903,18.9215,,,,,,[2.1458006 5.2752724 4.904266  5.435972  3.797907 ],1.3624649,4506,1.0575911,"[0.34853852 0.08082373 0.01815766 0.00575731 0.00243578 0.
 0.         0.         0.         0.        ]",-0.1999852,-0.6556649,0.66329527,0.026386319
7007815200150455916900060103,29.940384,-3.4632115,QSO,BROADLINE,2.9401615,0.0009247686,0,,,,,,,21.4774,21.4774,21.141,,,,,,[1.6676246 4.763333  4.896104  4.672681  3.1926818],1.8029916,4497,1.0777279,"[0.35896656 0.09270517 0.0325228  0.01367781 0.00516717 0.00273556
 0.00121581 0.         0.         0.        ]",,,,0.027783249
7007815400150455916900060103,30.020598,-3.4442246,STAR,WDhotter,4.300344e-05,2.8327418e-05,0,,,,,,,18.8817,18.8817,19.3174,,,,,,[11.881946 29.70498  20.851858 14.064137  6.233559],1.3265891,4508,1.0356348,"[0.3379127  0.07201418 0.01617549 0.00465322 0.0024374  0.00110791
 0.00066475 0.00044316 0.         0.        ]",1.691526,-13.965374,2.3887417,0.027146962
7007831800150455916900060103,29.958805,-3.3469595,STAR,F3/F5V (30743),0.00017341648,5.920476e-06,0,,,,,,,17.0188,17.0188,16.3113,,,,,,[24.282698 56.595417 58.132534 52.95975  36.418373],2.153838,4520,1.1529826,"[0.39337015 0.10320442 0.02497238 0.00883978 0.00464088 0.00375691
 0.00287293 0.00287293 0.00243094 0.00220994]",8.838538,-8.79866,-0.025140224,0.026619326
7007830200150455916900060103,30.002136,-3.3453385,QSO,BROADLINE,1.4443381,0.0005044104,0,,,,,,,20.2352,20.2352,20.6164,,,,,,[2.815001  3.8482506 4.098917  4.055041  2.492436 ],1.358282,4503,1.0370426,"[3.3702636e-01 7.6002657e-02 2.0163970e-02 6.4258808e-03 2.4374030e-03
 2.2158210e-04 2.2158210e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.027461385
7013918200150455916900060103,29.762818,-3.1344061,GALAXY,,0.043957002,2.2344806e-05,0,,,,,,,19.689,19.689,18.7261,,,,,,[ 4.3994646 18.75446   19.13554   20.265465  12.579769 ],1.7124268,4521,1.0493413,"[0.34452298 0.07751767 0.02429329 0.0119258  0.00684629 0.00507951
 0.00265018 0.00176678 0.00110424 0.00066254]",-0.84354013,-3.6932163,1.0656558,0.030396212
7013917900150455916900060103,29.812677,-3.1402374,STAR,B3Ib/II (51309),-8.1002705e-05,6.736571e-05,0,,,,,,,20.0442,20.0442,20.238,,,,,,[ 8.380148  13.814432   6.600103   3.7955956  1.4980775],1.4077652,4507,0.9699674,"[0.3047429  0.06139185 0.01440603 0.00598404 0.0035461  0.00199468
 0.00110816 0.00088652 0.00088652 0.00088652]",-3.7819202,-21.002203,1.7249576,0.029965421
