id,ra,dec,class,subclass,z,z_err
7014730800150135919700060103,27.961065,-1.2052863,QSO,BROADLINE,0.8124869,0.00058859185
7014773600150135919700060103,27.434546,-0.80528679,STAR,M5III (221615),6.4648757e-06,2.6676229e-05
7014766500150135919700060103,27.59447,-0.91721429,QSO,,1.1377028,0.0010943244
7014787400150135919700060103,27.929727,-1.0075955,STAR,F3/F5V (30743),-1.330749e-05,1.073312e-05
7014768600150135919700060103,27.670966,-0.81828102,STAR,F0IV (81937),0.00043213498,1.5121744e-05
7014814700150135919700060103,27.792774,-0.86959309,STAR,F0IV (81937),0.00016161952,1.4089168e-05
7016439500150135919700060103,27.274107,-0.2153771,QSO,BROADLINE,1.9928238,0.0025678838
7016462700150135919700060103,27.087341,-0.040491298,QSO,BROADLINE,0.9319455,0.00015071727
7016462800150135919700060103,27.217734,-0.1100929,QSO,,3.2849958,0.020700669
7016465600150135919700060103,27.19842,-0.022486102,STAR,WDhotter,-0.00018710105,6.4193104e-05
7014775400150135919700060103,27.365691,-0.70764629,QSO,BROADLINE,0.34269753,0.00014930306
7014776900150135919700060103,27.40195,-0.6869154,GALAXY,STARBURST,0.21333916,6.52926e-06
7014774500150135919700060103,27.510633,-0.7035934,QSO,,2.0513895,0.00038053945
7014826500150135919700060103,27.532983,-0.66030828,QSO,BROADLINE,2.7441735,0.00081257586
7016382700150135919700060103,27.339713,-0.53916888,QSO,BROADLINE,1.3838049,0.00055118476
7016426600150135919700060103,27.424709,-0.4858644,STAR,F3/F5V (30743),-5.371282e-05,2.4250192e-05
7014829300150135919700060103,27.479661,-0.56354681,QSO,,3.4571302,0.0004971659
7016427500150135919700060103,27.566166,-0.4314078,STAR,WDhotter,0.00014137449,7.014723e-05
7014827400150135919700060103,27.73797,-0.58304691,QSO,,1.3120717,0.0009882883
7014830200150135919700060103,27.774174,-0.57399171,QSO,BROADLINE,0.33531913,3.695534e-05
7014831600150135919700060103,27.658989,-0.4799705,QSO,,1.7275965,0.00089663925
7014824900150135919700060103,27.906943,-0.55577171,QSO,BROADLINE,1.9918034,0.0015491971
7014831400150135919700060103,27.877663,-0.42679928,QSO,BROADLINE,1.5162785,0.0020575922
7014825400150135919700060103,27.972108,-0.48062489,QSO,BROADLINE,1.9982003,0.0007736185
7016436300150135919700060103,27.321276,-0.36155898,QSO,BROADLINE,1.6875194,0.0008769412
7016430300150135919700060103,27.381462,-0.35267492,QSO,,1.3834895,0.0008811111
7016433800150135919700060103,27.541686,-0.2195847,QSO,BROADLINE,1.7948534,0.0038733913
7016440900150135919700060103,27.455196,-0.194556,QSO,BROADLINE,1.449553,0.0008188763
7016432600150135919700060103,27.662172,-0.2697239,STAR,K5Ve (118100),2.0243435e-05,1.5978589e-05
7016444000150135919700060103,27.803604,-0.2584785,QSO,,1.1489456,0.0014099394
7014845500150135919700060103,27.861047,-0.31973441,QSO,BROADLINE,1.2704796,0.0015517366
