id,ra,dec,class,subclass,z,z_err
7005016400150005923100060103,35.103846,-6.2921282,QSO,STARBURST BROADLINE,0.13974649,3.6676982e-05
7005016600150005923100060103,35.01667,-6.2686349,QSO,,2.411636,0.0006145229
7005376600150005923100060103,34.90911,-6.0668356,QSO,BROADLINE,0.56614363,0.000118007694
7005019500150005923100060103,34.972713,-6.1898776,QSO,BROADLINE,1.9115907,0.0017401354
7005375900150005923100060103,34.991105,-6.0930068,GALAXY,,0.0,0.0
7005377400150005923100060103,35.056275,-6.0171515,QSO,,1.1333464,0.0010009484
7004987300150005923100060103,35.407754,-6.4484517,STAR,F3/F5V (30743),-0.00030229884,1.6635868e-05
7005020900150005923100060103,35.198357,-6.2015798,QSO,BROADLINE,0.8865008,4.934561e-05
7005011400150005923100060103,35.410434,-6.2627868,QSO,,2.2043686,0.0060147056
7005696300150005923100060103,35.689222,-6.2771255,QSO,BROADLINE,2.5908725,-1.0
7005021300150005923100060103,35.156116,-6.1768468,QSO,BROADLINE,2.6809785,0.0019747582
7005024500150005923100060103,35.164636,-6.0885777,QSO,BROADLINE,1.7332374,0.00045772296
7005734700150005923100060103,35.24326,-6.0288194,STAR,F3/F5V (30743),0.00057271397,1.1387444e-05
7005733200150005923100060103,35.337295,-6.1206512,STAR,F2V (33256),0.0005363213,1.5572214e-05
7005733600150005923100060103,35.266138,-6.04728,QSO,BROADLINE,2.0500011,-1.0
7006149200150005923100060103,35.130754,-5.8761376,QSO,BROADLINE,0.5995465,0.00029356466
7005734100150005923100060103,35.369911,-5.9827167,QSO,BROADLINE,0.58102554,0.00030737193
7005726200150005923100060103,35.617758,-6.0965984,QSO,BROADLINE,1.6607155,0.0008200078
7005730900150005923100060103,35.61671,-6.0234278,STAR,F8V (G_243-63),-0.0006848441,9.912231e-06
7005740000150005923100060103,35.417946,-5.8505189,STAR,F3/F5V (30743),0.00047796362,1.4191819e-05
7005732400150005923100060103,35.652879,-5.898463,STAR,F3/F5V (30743),0.00010263313,1.5481623e-05
7005692600150005923100060103,35.95899,-6.2793123,QSO,,1.2400124,0.000743187
7005694600150005923100060103,36.048021,-6.1544588,QSO,BROADLINE,2.1299071,0.0019483619
7005702700150005923100060103,36.13731,-6.2008188,QSO,BROADLINE,3.0358799,0.0011108567
7005615800150005923100060103,36.289988,-6.2221293,QSO,BROADLINE,1.2795869,0.00061483897
7005703400150005923100060103,36.190746,-6.1972574,QSO,BROADLINE,1.6999394,0.0009590521
7005704100150005923100060103,36.246152,-6.1384437,QSO,BROADLINE,1.5436662,0.00090440625
7005702100150005923100060103,35.820523,-6.0747067,QSO,BROADLINE,2.0478268,0.0015876316
7005730600150005923100060103,35.810521,-6.0036851,QSO,BROADLINE,1.7911025,0.0008682174
7005701900150005923100060103,35.891618,-6.0810754,QSO,,2.0492435,0.0016967081
7005742500150005923100060103,35.838609,-5.9334336,QSO,BROADLINE,2.8690114,-1.0
7005716400150005923100060103,35.949999,-5.93855,STAR,F9IV (136064),0.00015492378,8.477697e-05
7005745600150005923100060103,35.87572,-5.7994991,QSO,BROADLINE,0.3541839,7.948215e-05
7005744100150005923100060103,35.978578,-5.8111165,QSO,BROADLINE,2.8245826,0.0014121103
7005712600150005923100060103,36.069669,-6.0834693,QSO,BROADLINE,1.9181093,0.0028204988
7005706800150005923100060103,36.292114,-6.0544704,STAR,F3/F5V (30743),0.00034625668,2.1554886e-05
7005717500150005923100060103,36.195668,-5.9609085,QSO,BROADLINE,1.4078074,0.0014624146
7005716800150005923100060103,36.076819,-5.919753,QSO,BROADLINE,1.6265687,0.0011266151
7005719700150005923100060103,36.28566,-5.8559544,STAR,K3V (32147),0.0002996897,7.1419134e-05
7005712000150005923100060103,36.391822,-5.9646943,STAR,A1III (225180),-0.00011926039,1.0425349e-05
7005708500150005923100060103,36.458517,-6.0291636,QSO,BROADLINE,0.32016405,6.292873e-05
7005771700150005923100060103,36.314418,-5.7570408,GALAXY,STARBURST,0.05358502,9.435526e-06
7005663500150005923100060103,36.609432,-5.9869653,QSO,BROADLINE,0.71847075,0.000103877006
7005663300150005923100060103,36.851693,-5.9517632,STAR,F3/F5V (30743),-0.00027845975,1.6336682e-05
7005664600150005923100060103,36.755257,-5.8750555,STAR,F3/F5V (30743),-0.0001512762,1.2048009e-05
7005415700150005923100060103,34.383286,-5.6325971,STAR,F3/F5V (30743),0.00044060557,1.420749e-05
7005421300150005923100060103,34.397376,-5.498546,STAR,F3/F5V (30743),-0.000684225,1.5770704e-05
7005423000150005923100060103,34.477716,-5.4114697,STAR,F3/F5V (30743),-0.000392649,1.3050397e-05
7006302700150005923100060103,34.25385,-5.1713761,STAR,F3/F5V (30743),0.00029153164,1.2211377e-05
7006302400150005923100060103,34.277634,-5.1750164,STAR,sd:F0 (G_84-29),0.00028364809,1.5617838e-05
7006296700150005923100060103,34.459475,-5.2875034,STAR,F9IV (136064),6.033654e-05,5.5261873e-05
7006297600150005923100060103,34.411598,-5.2159177,QSO,BROADLINE,2.1785836,0.0037658962
7006303500150005923100060103,34.311103,-5.090489,QSO,BROADLINE,1.8959817,0.0021478983
7006303100150005923100060103,34.340239,-5.1080722,QSO,,0.9840242,0.0005044559
7006299000150005923100060103,34.485355,-5.1144004,QSO,,1.0945865,0.0014529959
7006306700150005923100060103,34.473953,-4.9631896,QSO,BROADLINE,1.4012035,0.00024013162
7006309300150005923100060103,34.4897,-4.8497973,QSO,BROADLINE,2.2512107,0.0020619482
7006330000150005923100060103,34.316562,-4.7483984,STAR,F0IV (81937),-9.484916e-05,1.4389131e-05
7005387300150005923100060103,34.7941,-5.8541508,QSO,BROADLINE,0.55863404,0.00015101733
7005390400150005923100060103,34.805467,-5.7225842,GALAXY,STARFORMING,0.053945437,1.1041388e-05
7005414400150005923100060103,34.649644,-5.6327621,QSO,STARBURST BROADLINE,0.38657415,6.6004985e-05
7005419800150005923100060103,34.552611,-5.5218703,STAR,A8V (155514),-0.00044714258,3.4685236e-05
7005413300150005923100060103,34.773503,-5.6671224,QSO,BROADLINE,1.8766534,0.0016109197
7006158000150005923100060103,35.022214,-5.6980469,QSO,BROADLINE,3.922006,0.002068611
7006157500150005923100060103,35.102282,-5.6791905,STAR,A8V (155514),-0.0004325959,7.131008e-05
7006160400150005923100060103,34.988374,-5.6588861,STAR,sd:F0 (G_84-29),-0.00045347924,0.00011008554
7006162000150005923100060103,35.103919,-5.6290434,QSO,BROADLINE,1.3212352,0.0006805385
7005420200150005923100060103,34.538239,-5.4864601,STAR,A4V (136729),-0.00032019045,0.0001219292
7006185100150005923100060103,34.759444,-5.4291362,QSO,,1.5874995,0.0010460102
7006185200150005923100060103,34.805508,-5.4489919,GALAXY,,0.0,0.0
7006194400150005923100060103,34.752865,-5.2836761,QSO,BROADLINE,1.4513531,0.00063352875
7006197300150005923100060103,34.773589,-5.1776181,QSO,BROADLINE,1.6512629,0.0015485126
7006190600150005923100060103,34.891967,-5.3494919,QSO,BROADLINE,0.6472346,0.00016671269
7006186500150005923100060103,35.018347,-5.4702081,QSO,,1.225412,0.000977306
7006189000150005923100060103,35.006823,-5.3714079,QSO,BROADLINE,2.2217019,0.0011234523
7006196300150005923100060103,34.912856,-5.1927162,GALAXY,AGN BROADLINE,0.15058066,1.5744754e-05
7006207800150005923100060103,34.892559,-5.1498551,QSO,BROADLINE,1.3239914,0.00073414383
