specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
5759975300150225916500060103,119.12517,33.772119,QSO,BROADLINE,2.0358737,0.0009115305,0,,,,,,,20.2008,20.2008,20.4059,,,,,,[1.799719  2.4608786 1.9209752 2.9803805 2.262423 ],1.376468,4463,1.0453134,"[0.3395189  0.07193585 0.0187858  0.00595647 0.00252005 0.00137457
 0.00091638 0.00045819 0.         0.        ]",,,,0.054598317
5760659100150225916500060103,118.59034,34.233372,STAR,M5III (221615),0.0003027913,2.0194204e-05,0,,,,,,,19.5691,19.5691,17.2451,,,,,,[ 1.2956284  7.4344077 11.555436  26.245592  30.574894 ],2.7983077,4478,1.4297285,"[0.4889583  0.16707562 0.04885121 0.01672987 0.00847647 0.00579969
 0.00423823 0.00312291 0.00245371 0.00223065]",-14.439456,-16.45509,2.1473403,0.04438987
5760662000150225916500060103,118.62909,34.362374,QSO,BROADLINE,1.8208042,0.0006195287,0,,,,,,,19.6624,19.6624,19.1129,,,,,,[3.7470856 9.72009   6.944826  7.748915  4.7606945],1.0525761,4475,0.9724547,"[0.30412486 0.05239688 0.00802676 0.00200669 0.0006689  0.
 0.         0.         0.         0.        ]",-0.04605374,0.39110866,-0.38024005,0.04695718
5760620000150225916500060103,118.89382,34.102403,STAR,M4.5:III (123657),-0.0002018888,2.180405e-05,0,,,,,,,19.8659,19.8659,17.587,,,,,,[ 1.1644634  9.253554  13.436377  23.6678    24.191847 ],2.7121403,4478,1.4964056,"[0.5021191  0.18804371 0.06178898 0.02386795 0.01159938 0.0044613
 0.00111532 0.         0.         0.        ]",-3.6365066,-7.2660594,1.4215305,0.045020957
5759988700150225916500060103,119.27534,33.792747,STAR,F3/F5V (30743),3.9111663e-05,5.222297e-06,0,,,,,,,15.6623,15.6623,14.9318,,,,,,[28.856258 72.09392  77.590546 77.014915 71.79045 ],1.8090968,4476,1.0589108,"[3.4523544e-01 8.4579334e-02 2.6110243e-02 8.9265788e-03 3.5706316e-03
 1.7853158e-03 4.4632895e-04 4.4632895e-04 2.2316448e-04 0.0000000e+00]",-0.83759457,-3.9825926,0.4555765,0.052193895
5759989300150225916500060103,119.19898,33.887399,QSO,,1.5776148,0.00027644838,64,,,,,,,20.0949,20.0949,19.5448,,,,,,[ 3.675294  12.11464   11.605717  11.023359   5.7485867],1.3856454,4473,1.1132507,"[3.7854114e-01 8.1418693e-02 1.4722284e-02 4.2382334e-03 1.5614544e-03
 2.2306491e-04 2.2306491e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-6.945465,2.0682988,3.8058395,0.05075968
5760657000150225916500060103,118.7327,34.183837,STAR,F3/F5V (30743),-0.00047866625,1.4237191e-05,0,,,,,,,17.6291,17.6291,16.8945,,,,,,[11.372255 34.983345 34.198963 34.401657 23.77939 ],1.4538754,4476,1.0690228,"[0.3510377  0.08212452 0.02030797 0.00758759 0.00334747 0.00178532
 0.00066949 0.         0.         0.        ]",3.3359327,-12.572767,0.3438006,0.04473192
5760657200150225916500060103,118.82015,34.233879,STAR,F0IV (81937),0.00059135724,7.0528536e-06,0,,,,,,,16.4063,16.4063,15.7227,,,,,,[24.393715 57.22042  60.23128  58.398483 47.068142],2.560122,4480,1.3427159,"[0.4541806  0.14827202 0.04682274 0.01672241 0.00936455 0.00624303
 0.00468227 0.00267559 0.00200669 0.00156076]",-7.9949055,-21.57985,0.36602068,0.045998607
5760681900150225916500060103,118.7584,34.397557,QSO,BROADLINE,2.0159702,0.0014093544,0,,,,,,,20.8216,20.8216,20.1236,,,,,,[2.9833758 4.632399  3.31461   3.3299713 2.6183321],1.133092,4473,0.9689564,"[3.0540419e-01 5.4950044e-02 1.2034514e-02 2.7247956e-03 6.8119890e-04
 2.2706631e-04 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-0.70034075,-0.4076809,0.32428062,0.043511104
5760680200150225916500060103,118.85046,34.359578,QSO,BROADLINE,2.1288557,0.00026792125,0,,,,,,,17.8959,17.8959,17.0449,,,,,,[19.496237 34.081104 33.245678 37.58589  30.948425],9.249592,4473,1.9221667,"[0.60014135 0.29877475 0.13454288 0.06409048 0.03133836 0.01861451
 0.01460886 0.01201697 0.00942507 0.00541942]",-0.15646484,-0.08390014,-0.03634612,0.0447865
