id,ra,dec,class,subclass,z,z_err
8003971700152705928400060103,143.03943,2.7309916,1,BROADLINE,1.0030943,0.00013470418
8003971800152705928400060103,143.06751,2.7471276,1,BROADLINE,0.7644989,0.00024309933
8004122700152705928400060103,142.35876,3.3180217,1,BROADLINE,1.38292,0.00045377816
8004099600152705928400060103,142.46547,3.2279402,2,F6II (61295),0.00047318827,5.6563073e-05
8004123800152705928400060103,142.3166,3.3700805,2,M4.5:III (123657),0.00013510534,2.7629894e-05
8004124600152705928400060103,142.51344,3.4076864,2,K5 (G_19-24),0.0002086161,5.884314e-05
8001034900152705928400060103,142.56287,3.0083007,2,WDhotter,-0.00031580523,0.00020261786
8000931600152705928400060103,142.7804,2.9229464,2,F3/F5V (30743),0.0011610806,2.3855473e-05
8003982100152705928400060103,142.7553,2.9711384,2,WDhotter,3.6755053e-05,0.00018188618
8001033800152705928400060103,142.65915,3.0274487,2,F3/F5V (30743),0.0004970911,2.4729423e-05
8003979300152705928400060103,142.95376,2.9340551,1,,1.2227288,0.0008793733
8003979900152705928400060103,142.99474,2.9246295,2,WDcooler,5.4982218e-05,0.00013049551
8004092200152705928400060103,142.90958,3.1702255,1,,1.2244747,0.0010802619
8003985700152705928400060103,142.98616,3.1698133,1,,0.9966545,0.0002196988
8004093900152705928400060103,142.89406,3.2506416,2,M5III (221615),-5.662916e-05,2.1344384e-05
8004095100152705928400060103,143.00668,3.3163307,1,BROADLINE,0.420071,8.567067e-05
8004098200152705928400060103,142.91566,3.4099697,1,BROADLINE,0.8621952,0.00029191357
8004107100152705928400060103,143.05023,3.3973843,1,BROADLINE,1.9345522,0.0035332576
8004110300152705928400060103,143.02622,3.4925502,1,BROADLINE,0.68540907,0.0004043874
8004110100152705928400060103,143.11488,3.5229449,1,BROADLINE,2.1937234,0.0021237268
8004137800152705928400060103,142.32005,3.6734665,2,G4V (32923),0.00026503098,1.4889768e-05
8004130100152705928400060103,142.52709,3.6014387,1,,1.0000902,0.0027478496
8004542000152705928400060103,142.56088,4.0412689,0,,0.22495966,7.630466e-05
8004544200152705928400060103,142.46344,4.2457983,2,WDhotter,7.813804e-05,0.00011610677
8004544600152705928400060103,142.53582,4.2291077,1,BROADLINE,1.7340131,0.0014602771
8004143800152705928400060103,142.81582,3.6988197,1,,1.0952537,0.00093099306
8004146200152705928400060103,142.69181,3.745168,2,F3/F5V (30743),0.0006706366,9.531904e-06
8004148000152705928400060103,142.79851,3.8114886,2,K5 (G_19-24),0.00011708076,1.6659485e-05
8004149400152705928400060103,142.71522,3.8359908,1,BROADLINE,1.9405804,0.00053167704
8004151700152705928400060103,142.79003,3.848003,2,F0IV (81937),0.0008724947,1.5385116e-05
8004151500152705928400060103,142.84082,3.8467497,1,,1.9564441,0.00088585954
8004150000152705928400060103,142.85413,3.8342709,1,BROADLINE,1.1151588,0.000487982
