specobjid,ra,dec,class,subclass,z,z_err,z_warning,psfmag_g,psfmag_r,psfmag_i,psfmag_z,fiber2mag_g,fiber2mag_r,gaia_g_mag,bp_mag,rp_mag,wise_w1_mag,wise_w2_mag,twomass_j_mag,twomass_h_mag,twomass_k_mag,sn_median,rchi2,dof,chi68p,fracnsigma,pmra,pmdec,parallax,ebv
7028937500150095919200060103,20.388745,0.49109891,STAR,WDcooler,-9.428078e-06,4.1291856e-05,0,,,,,,,19.1739,19.1739,19.1196,,,,,,[ 6.5536427 16.579166  13.339     10.789703   5.731444 ],1.0332679,4504,0.9249848,"[0.27833223 0.03437569 0.00532269 0.00155245 0.00155245 0.00110889
 0.00110889 0.00088711 0.00066534 0.00044356]",8.785069,-37.039646,4.95358,0.033083368
7028884500150095919200060103,20.611525,0.057648491,QSO,BROADLINE,2.4871597,0.0021219887,0,,,,,,,19.9548,19.9548,19.5129,,,,,,[2.3285005 8.029091  7.2517123 6.748617  5.2578545],1.2890781,4535,0.9318788,"[2.8057367e-01 4.6936113e-02 8.0834422e-03 7.8226859e-04 2.6075621e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",-0.26278567,0.37841165,0.7784748,0.034320515
7028888300150095919200060103,20.662907,0.091653909,QSO,BROADLINE,0.9094285,0.00015199886,0,,,,,,,18.8356,18.8356,18.4256,,,,,,[ 7.879939 18.777937 17.79065  15.615824 11.332844],1.0386857,4509,0.9824011,"[3.1135207e-01 4.7798187e-02 5.5321972e-03 1.7703031e-03 8.8515156e-04
 4.4257578e-04 2.2128789e-04 2.2128789e-04 0.0000000e+00 0.0000000e+00]",-0.79505956,-0.34305218,0.15439136,0.03460588
7028886000150095919200060103,20.757473,0.056486617,QSO,BROADLINE,1.3629248,0.0002381544,0,,,,,,,18.4117,18.4117,17.8937,,,,,,[11.9114   22.383934 22.40454  22.791307 14.838634],1.4008677,4515,1.0359331,"[3.3546960e-01 7.7348068e-02 1.7900553e-02 7.0718233e-03 3.3149172e-03
 2.4309391e-03 1.1049723e-03 6.6298345e-04 4.4198896e-04 2.2099448e-04]",0.62261206,-0.029285446,0.21780111,0.03367015
11940894900150095919200060103,19.068787,-2.1137977,QSO,,1.8238677,0.0015816194,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[0.9462766 1.7035358 1.8766092 2.9058933 1.9489143],0.9158627,4467,0.91764385,"[2.7808800e-01 3.4844764e-02 4.2439131e-03 1.1168193e-03 4.4672773e-04
 2.2336387e-04 2.2336387e-04 2.2336387e-04 0.0000000e+00 0.0000000e+00]",,,,0.04347515
12312247000150095919200060103,19.145074,-2.0326097,QSO,BROADLINE,1.9042816,0.0015284477,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.3936694 3.6267064 3.4285371 3.965342  2.5823865],0.93735015,4465,0.9018135,"[0.27106145 0.03932961 0.00558659 0.00156425 0.00111732 0.00067039
 0.00044693 0.         0.         0.        ]",,,,0.041439936
11940919100150095919200060103,19.080037,-1.8203587,QSO,BROADLINE,0.9545433,0.00034062492,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.5871257 3.4517634 3.4194016 3.1950488 2.423914 ],0.8869303,4465,0.88561755,"[2.6212290e-01 3.2849163e-02 4.2458102e-03 1.3407822e-03 1.3407822e-03
 2.2346369e-04 2.2346369e-04 2.2346369e-04 2.2346369e-04 0.0000000e+00]",,,,0.050162613
12312271000150095919200060103,19.229937,-1.70835,QSO,,1.2770885,0.0009895249,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.4853613 3.3696263 4.709719  4.674907  3.0340087],1.0013767,4474,0.92363656,"[2.8322926e-01 4.1480821e-02 6.0214093e-03 2.0071366e-03 1.3380910e-03
 6.6904549e-04 6.6904549e-04 4.4603032e-04 2.2301516e-04 2.2301516e-04]",,,,0.06123467
12312214900150095919200060103,18.521558,-1.6755206,QSO,,0.9258605,0.00015149238,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.1480143 1.848304  2.028973  2.2796667 1.7473581],0.96184146,4486,0.9137014,"[0.2766904  0.04048043 0.00645018 0.00200178 0.00088968 0.00044484
 0.         0.         0.         0.        ]",,,,0.046900462
11940887400150095919200060103,18.287342,-1.3089628,QSO,BROADLINE,2.1371586,0.00320133,0,,,,,,,-9.99999,-9.99999,-9.99999,,,,,,[1.5929039 1.855557  1.6028118 1.8207897 1.607933 ],0.9939769,4477,0.9111371,"[2.7317417e-01 3.6516853e-02 5.1498129e-03 7.0224720e-04 2.3408240e-04
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00]",,,,0.064284675
