id,ra,dec,class,subclass,z,z_err
12187655800150715925300060103,149.25016,1.04919,QSO,BROADLINE,0.42640337,5.256953e-05
7995135200150715925300060103,149.04238,1.3236645,STAR,A4V (97603),0.00032103353,2.7132914e-05
7995134000150715925300060103,149.12054,1.2722147,STAR,F3/F5V (30743),0.00063333055,1.3312778e-05
7995021200150715925300060103,149.24013,1.219459,QSO,BROADLINE,2.3398473,0.001712478
7995133900150715925300060103,149.14231,1.2727576,QSO,BROADLINE,2.2315905,0.0038034022
7995135800150715925300060103,149.15215,1.3212995,STAR,F3/F5V (30743),0.001015723,6.4537744e-05
7995025600150715925300060103,149.26457,1.3613534,STAR,G0 (G_101-29),0.0007050112,7.134644e-05
7994577500150715925300060103,149.97004,0.72270549,STAR,F3/F5V (30743),0.0006968495,1.759265e-05
7995008300150715925300060103,149.5026,1.037919,STAR,F0IV (81937),0.000515154,2.082504e-05
7995009300150715925300060103,149.47075,1.0881633,STAR,F0IV (81937),0.00034551887,1.5404476e-05
7995012800150715925300060103,149.55055,1.1412551,QSO,BROADLINE,1.1191342,0.000629375
7995013000150715925300060103,149.61464,1.1412053,QSO,,0.5521218,0.00017348306
7994968300150715925300060103,149.83781,0.92753971,STAR,F3/F5V (30743),0.00032841644,1.5148096e-05
7995012400150715925300060103,149.64221,1.108408,STAR,F3/F5V (30743),-0.0002296073,3.3377262e-05
7995013500150715925300060103,149.67748,1.1312887,STAR,F0IV (81937),0.00046472842,1.0509187e-05
7995023600150715925300060103,149.34871,1.2496471,QSO,BROADLINE,2.477776,0.0024274392
7995011900150715925300060103,149.3922,1.1697152,STAR,F2V (33256),0.00017185844,8.063399e-05
7995016400150715925300060103,149.59891,1.2099199,QSO,BROADLINE,0.50477004,6.620624e-05
7995027700150715925300060103,149.42127,1.4448571,STAR,F8V (G_243-63),0.00013378446,4.868027e-05
7995041400150715925300060103,149.60743,1.441292,QSO,,3.174114,0.0010369233
7995028000150715925300060103,149.78608,1.215965,STAR,F3/F5V (30743),0.0010141394,1.067553e-05
7995033300150715925300060103,149.70074,1.350701,QSO,BROADLINE,3.1260486,0.0018105797
7994997700150715925300060103,149.85647,1.259075,QSO,BROADLINE,1.6988753,0.0006768991
7995030700150715925300060103,149.89346,1.3330813,QSO,,1.1704042,0.0004187385
7994999100150715925300060103,149.9593,1.3162636,STAR,G1V (95128),-0.0002008472,1.4437692e-05
7995042500150715925300060103,149.70954,1.5252246,GALAXY,,0.06816568,2.374301e-05
