id,ra,dec,class,subclass
7035569200150395920200060103,1.5941911,-0.073459707,QSO,BROADLINE
7035564700150395920200060103,1.7289015,-0.065754913,STAR,M5III (221615)
7035059900150395920200060103,2.6619456,-0.54506851,STAR,WDcooler
7035538400150395920200060103,1.8392827,-0.28999431,STAR,F0IV (81937)
7035536400150395920200060103,2.028767,-0.30743351,GALAXY,
7035532400150395920200060103,2.1995573,-0.28250532,QSO,
7035566000150395920200060103,1.9522767,-0.06397068,QSO,BROADLINE
7035567000150395920200060103,2.0002955,-0.0059446968,QSO,BROADLINE
7035543600150395920200060103,2.022518,-0.16716672,QSO,BROADLINE
7035545500150395920200060103,2.1241009,-0.11781168,QSO,BROADLINE
7035546100150395920200060103,2.117171,-0.036160611,QSO,BROADLINE
7035545600150395920200060103,2.1611118,-0.091853406,STAR,F3/F5V (30743)
7035533800150395920200060103,2.323722,-0.22911189,QSO,BROADLINE
7035076500150395920200060103,2.6720854,-0.41390148,QSO,
7035077300150395920200060103,2.5922378,-0.37133669,QSO,BROADLINE
7035077100150395920200060103,2.6818351,-0.33655039,QSO,
7035534500150395920200060103,2.3078446,-0.18457152,STAR,A1V (95418)
7035554200150395920200060103,2.2542697,-0.05185822,QSO,BROADLINE
7035547800150395920200060103,2.5012644,-0.15050341,QSO,BROADLINE
7035547400150395920200060103,2.5845459,-0.12744999,QSO,BROADLINE
7035068600150395920200060103,2.8072447,-0.54109228,STAR,F0IV (81937)
7035049600150395920200060103,3.0055551,-0.47942398,GALAXY,
7035052000150395920200060103,3.0453275,-0.46412951,STAR,M5III (221615)
7035051700150395920200060103,3.1556673,-0.44977911,QSO,
7035071700150395920200060103,2.8856054,-0.37229188,STAR,M6III (148783)
7035077600150395920200060103,2.767504,-0.27820659,STAR,G4V (32923)
7035078100150395920200060103,2.7536558,-0.2589357,QSO,BROADLINE
7035079700150395920200060103,2.7916462,-0.25647109,STAR,WDhotter
7035072000150395920200060103,2.991694,-0.42602122,STAR,F3/F5V (30743)
7035074600150395920200060103,2.9094378,-0.32756022,STAR,F0IV (81937)
7035081200150395920200060103,2.8411427,-0.15514279,QSO,BROADLINE
7035552100150395920200060103,2.6974402,-0.00068078074,QSO,BROADLINE
7035081500150395920200060103,2.8787211,-0.11077322,QSO,BROADLINE
7035327800150395920200060103,3.1284371,-0.19972472,STAR,WDhotter
7035330200150395920200060103,3.0677431,-0.15195979,QSO,BROADLINE
7035299900150395920200060103,3.225588,-0.24965029,STAR,A1III (225180)
7035290000150395920200060103,3.4269205,-0.40351508,QSO,BROADLINE
7035300900150395920200060103,3.4765174,-0.23551919,QSO,BROADLINE
7035329900150395920200060103,3.1361844,-0.13434828,QSO,BROADLINE
7035334500150395920200060103,3.2114193,-0.024451088,QSO,BROADLINE
7035332000150395920200060103,3.3227811,-0.10993491,QSO,BROADLINE
7035301000150395920200060103,3.5030158,-0.21416839,QSO,
7035332800150395920200060103,3.37944,-0.037148993,QSO,
7035295300150395920200060103,3.5978084,-0.28946959,STAR,F0IV (81937)
7035309200150395920200060103,3.7792052,-0.13360442,QSO,BROADLINE
7035319100150395920200060103,3.6123694,-0.051887378,QSO,BROADLINE
7035319600150395920200060103,3.6834728,-0.0051491049,QSO,BROADLINE
7035309500150395920200060103,3.7743886,-0.092897989,QSO,BROADLINE
7035571400150395920200060103,1.6894808,0.01656352,QSO,BROADLINE
7035575400150395920200060103,1.634644,0.11872851,QSO,
7035573700150395920200060103,1.777986,0.11442021,QSO,
7035687700150395920200060103,1.489356,0.3092006,STAR,CalciumWD
7035696800150395920200060103,1.4368213,0.40254171,QSO,
7035697500150395920200060103,1.541983,0.4332894,QSO,BROADLINE
7035702000150395920200060103,1.7555703,0.3784321,QSO,BROADLINE
7035700300150395920200060103,1.3340019,0.511305,QSO,BROADLINE
7035729800150395920200060103,1.2915117,0.6361022,GALAXY,
7035698300150395920200060103,1.4885451,0.4771676,QSO,BROADLINE
7035701300150395920200060103,1.6826681,0.4660777,QSO,BROADLINE
7035717600150395920200060103,1.75084,0.6283734,QSO,
7035762400150395920200060103,1.2522725,1.0391301,QSO,BROADLINE
7136915900150395920200060103,1.2849102,1.1351202,QSO,
7137129200150395920200060103,1.3069606,1.3341417,QSO,BROADLINE
7035751300150395920200060103,1.5174009,0.91603,STAR,F3/F5V (30743)
7035759200150395920200060103,1.4566081,0.9847367,QSO,BROADLINE
7136917800150395920200060103,1.3722525,1.2064934,QSO,BROADLINE
7137129100150395920200060103,1.3862901,1.3369802,QSO,BROADLINE
7035955200150395920200060103,1.5941994,1.1663203,STAR,WDhotter
7035956100150395920200060103,1.5792773,1.1958174,STAR,F5Ib... (17463)
7035950100150395920200060103,1.6814961,1.120504,QSO,BROADLINE
7137129900150395920200060103,1.3775152,1.3764607,QSO,BROADLINE
7137128500150395920200060103,1.5006435,1.3582751,STAR,CV
7137134100150395920200060103,1.5001383,1.5016908,QSO,
7035960700150395920200060103,1.7207834,1.3481409,STAR,F3/F5V (30743)
7137135600150395920200060103,1.6121864,1.6028852,GALAXY,
7137146100150395920200060103,1.6412801,1.6630085,QSO,BROADLINE
7137145500150395920200060103,1.6906077,1.605473,QSO,
7137145700150395920200060103,1.7143236,1.6411267,QSO,BROADLINE
7137147900150395920200060103,1.7273928,1.7259452,QSO,
7035568500150395920200060103,1.9399192,0.08323598,STAR,F3/F5V (30743)
7035586300150395920200060103,1.8142973,0.26065541,QSO,STARBURST BROADLINE
7035588600150395920200060103,1.7913863,0.31507311,QSO,BROADLINE
7035587000150395920200060103,1.9455571,0.26195158,QSO,BROADLINE
7035589400150395920200060103,1.9047735,0.33422919,QSO,
7035589500150395920200060103,1.9690398,0.35284299,GALAXY,
7035587200150395920200060103,2.0314245,0.27195472,QSO,BROADLINE
7035587300150395920200060103,2.0849171,0.28376149,QSO,
7035585000150395920200060103,2.1513377,0.28007428,QSO,BROADLINE
7035590800150395920200060103,2.1862748,0.43072218,QSO,BROADLINE
7035556800150395920200060103,2.3037779,0.084581987,QSO,BROADLINE
7035560200150395920200060103,2.4122142,0.17138812,QSO,BROADLINE
7035553100150395920200060103,2.5334302,0.054869877,QSO,BROADLINE
7035557800150395920200060103,2.518324,0.087184592,STAR,A2II (39866)
7035774200150395920200060103,2.5687438,0.20769019,QSO,BROADLINE
7035561200150395920200060103,2.4394606,0.2269647,QSO,BROADLINE
7035586000150395920200060103,2.3007733,0.40371719,QSO,BROADLINE
7035774300150395920200060103,2.6104684,0.25889602,QSO,BROADLINE
7035709300150395920200060103,1.8274059,0.5817612,STAR,F3/F5V (30743)
7035709700150395920200060103,1.8549558,0.6125211,QSO,BROADLINE
7035711000150395920200060103,1.9086182,0.6674823,STAR,WDcooler
7035592600150395920200060103,2.1446768,0.5322775,QSO,BROADLINE
7035922200150395920200060103,1.7915528,0.8915022,QSO,BROADLINE
7035913500150395920200060103,2.1528745,0.7687838,STAR,F3/F5V (30743)
7035812500150395920200060103,2.2789458,0.5479718,QSO,BROADLINE
7035815000150395920200060103,2.2739111,0.6250501,QSO,BROADLINE
7035809000150395920200060103,2.624541,0.5239023,STAR,M4.5:III (123657)
7035819500150395920200060103,2.3855781,0.6821777,STAR,F2V (33256)
7035819900150395920200060103,2.3889338,0.7374233,QSO,
7035916500150395920200060103,2.3418981,0.8188574,STAR,F3/F5V (30743)
7035820300150395920200060103,2.4015879,0.7841912,STAR,F0IV (81937)
