id,ra,dec,class,subclass
8898429200152725930300060103,232.08033,5.4260062,STAR,F3/F5V (30743)
8898435200152725930300060103,232.24062,5.5818735,STAR,F3/F5V (30743)
8898405700152725930300060103,232.30269,5.5259691,STAR,F3/F5V (30743)
8898436600152725930300060103,232.30748,5.6442264,STAR,F3/F5V (30743)
8898407200152725930300060103,232.4023,5.6023782,STAR,G8V (101501)
5947917300152725930300060103,230.85225,6.1283615,STAR,F3/F5V (30743)
5948066200152725930300060103,230.70554,6.4553599,STAR,F3/F5V (30743)
5948111400152725930300060103,230.65281,6.6198251,STAR,F8V (G_243-63)
5948954100152725930300060103,230.90036,7.7440161,STAR,F6V (16673)
5947854200152725930300060103,231.28757,5.7056556,STAR,K3V (32147)
5947859400152725930300060103,231.28082,5.7851081,STAR,F3/F5V (30743)
5947913800152725930300060103,231.01036,6.0791989,STAR,F3/F5V (30743)
5947923500152725930300060103,231.28671,6.1625193,STAR,F2V (33256)
5947848200152725930300060103,231.60862,5.703372,STAR,WDhotter
5947867000152725930300060103,231.7149,5.7264416,STAR,A1V (95418)
5947869700152725930300060103,231.54928,5.8446585,STAR,WDcooler
8898442700152725930300060103,231.9279,5.6458514,STAR,B9Vn (177756)
5947868500152725930300060103,231.76892,5.8133619,STAR,F3/F5V (30743)
5947871700152725930300060103,231.9002,5.9122767,STAR,F0IV (81937)
5947888200152725930300060103,231.61882,6.0918357,STAR,WDhotter
5947934000152725930300060103,231.12729,6.2903005,STAR,F6V (16673)
5947930300152725930300060103,231.40804,6.3392055,STAR,F8V (G_243-63)
5947941400152725930300060103,231.34133,6.4968419,STAR,G8V (101501)
5948089200152725930300060103,231.05043,6.7499604,STAR,G1V (95128)
5948363100152725930300060103,231.01661,6.862569,STAR,F3/F5V (30743)
5948355100152725930300060103,231.40668,6.8193691,STAR,B0.5Iae (185859)
5948352500152725930300060103,231.44904,6.7975078,STAR,G1V (95128)
5948356200152725930300060103,231.36103,6.8792343,STAR,F3/F5V (30743)
5948193300152725930300060103,231.61531,6.5451845,STAR,F0IV (81937)
5948185400152725930300060103,231.67974,6.5305666,STAR,WDhotter
5948196900152725930300060103,231.48796,6.6725404,STAR,WDhotter
5948214700152725930300060103,231.84949,6.7580835,GALAXY,
8898694600152725930300060103,232.36219,5.7398487,STAR,F3/F5V (30743)
8898702200152725930300060103,232.47803,5.9294789,STAR,F3/F5V (30743)
8898703400152725930300060103,232.48436,5.9942807,STAR,M5III (221615)
8898710400152725930300060103,232.36827,6.0343041,STAR,WDcooler
8898710500152725930300060103,232.42292,6.0666804,STAR,WDhotter
8898714000152725930300060103,232.44746,6.1551806,STAR,G0Va (143761)
8898655200152725930300060103,232.81636,5.702733,STAR,A4V (136729)
8898733300152725930300060103,232.69533,6.2788399,GALAXY,
8898726800152725930300060103,232.95476,6.2811413,STAR,F3/F5V (30743)
8898800300152725930300060103,233.10019,6.4011128,STAR,G8V (101501)
5948147800152725930300060103,232.1327,6.3575748,STAR,CV
5948169400152725930300060103,232.54618,6.7160351,STAR,F3/F5V (30743)
5948209100152725930300060103,232.18411,6.7694231,STAR,WDmagnetic
5948291000152725930300060103,232.29705,6.9633298,STAR,M5III (221615)
5948229000152725930300060103,232.65256,6.7164386,STAR,F8V (G_243-63)
8898803800152725930300060103,233.08545,6.4466129,STAR,A8V (155514)
5948242000152725930300060103,232.62001,6.8683978,GALAXY,
5948261600152725930300060103,233.12139,7.0732466,STAR,F3/F5V (30743)
5948943600152725930300060103,231.03557,7.5452462,STAR,F0IV (81937)
5948428700152725930300060103,231.09239,7.5642058,STAR,O8/O9 (167771)
5948426200152725930300060103,231.21561,7.4742018,STAR,F0II (25291)
5948389600152725930300060103,231.6333,7.309709,STAR,F0IV (81937)
5948438700152725930300060103,231.88038,7.3118377,STAR,WDhotter
5948454500152725930300060103,231.8565,7.4509785,QSO,
5948455300152725930300060103,231.96392,7.4907398,STAR,F0IV (81937)
5948465600152725930300060103,231.95239,7.657124,STAR,F3/F5V (30743)
5948949200152725930300060103,231.12991,7.7405885,STAR,F3/F5V (30743)
5949022100152725930300060103,231.32554,7.9995808,STAR,G4V (32923)
5948517800152725930300060103,231.5967,7.8717632,STAR,G8V (101501)
5949023900152725930300060103,231.47,8.0461521,STAR,B9Vn (177756)
5949027500152725930300060103,231.51875,8.1956578,STAR,A2II (39866)
5948541400152725930300060103,231.83751,8.1476715,STAR,WDhotter
5948541600152725930300060103,231.87266,8.1949427,STAR,WDhotter
5948546500152725930300060103,231.9622,8.2062335,STAR,K0IV (191026)
5948308100152725930300060103,232.27106,7.2537663,STAR,F3/F5V (30743)
5948299300152725930300060103,232.51912,7.1792147,STAR,F3/F5V (30743)
5948461400152725930300060103,232.05833,7.5620614,STAR,F3/F5V (30743)
5948254700152725930300060103,232.77461,7.1278965,STAR,F0IV (81937)
5948322900152725930300060103,232.65438,7.3718809,STAR,F3/F5V (30743)
5948324300152725930300060103,232.71237,7.4593377,STAR,F3/F5V (30743)
5948331200152725930300060103,232.96517,7.5782014,STAR,G0Va (143761)
5949366200152725930300060103,233.07237,7.4953905,GALAXY,
5948521300152725930300060103,232.06888,7.8442907,STAR,G1V (95128)
5948530600152725930300060103,232.21235,8.0170829,STAR,G0 (63791)
