id,ra,dec,class,subclass
9007223500153315930200060103,276.06428,24.913189,STAR,G0Va (143761)
9007223900153315930200060103,276.10462,24.983066,STAR,M5III (221615)
9007178900153315930200060103,276.64186,24.838492,STAR,F3/F5V (30743)
9007250700153315930200060103,276.82878,24.901008,STAR,WDhotter
9050866200153315930200060103,275.24855,25.40132,STAR,WDhotter
9051027300153315930200060103,275.04086,25.647981,STAR,M3III (44478)
9051025200153315930200060103,275.23498,25.615228,STAR,G1V (95128)
9051026200153315930200060103,275.19182,25.686306,GALAXY,
9051037000153315930200060103,275.01697,25.760974,STAR,G0 (63791)
9051053400153315930200060103,275.01352,25.864087,STAR,M6III (148783)
9051054500153315930200060103,275.2068,25.926059,GALAXY,
9051060900153315930200060103,275.16259,26.063419,STAR,F3/F5V (30743)
9051094300153315930200060103,274.88485,26.152486,STAR,A4V (97603)
9051095000153315930200060103,274.87436,26.205233,STAR,K5Ve (118100)
9051110500153315930200060103,274.85995,26.346503,STAR,WDmagnetic
9051115400153315930200060103,274.91022,26.466362,STAR,F3/F5V (30743)
9051099900153315930200060103,275.01379,26.275181,STAR,M4.5:III (123657)
9051062300153315930200060103,275.18301,26.138849,STAR,F3/F5V (30743)
9051101100153315930200060103,275.09006,26.326867,GALAXY,
9051111500153315930200060103,275.01816,26.406755,STAR,M5III (221615)
9051112400153315930200060103,274.97932,26.451706,STAR,G1V (95128)
9051102400153315930200060103,275.05293,26.394139,STAR,G8V (101501)
9050817000153315930200060103,275.50075,25.120424,STAR,F9IV (136064)
9050814700153315930200060103,275.62526,25.10659,STAR,M5III (221615)
9050816200153315930200060103,275.70437,25.169283,STAR,F3/F5V (30743)
9050835200153315930200060103,275.75075,25.167998,STAR,M3III (44478)
9050871100153315930200060103,275.57355,25.354231,STAR,F3/F5V (30743)
9050839000153315930200060103,275.70887,25.282218,STAR,F8V (30562)
9007227300153315930200060103,276.12387,25.02751,STAR,F6V (16673)
9050841100153315930200060103,275.94722,25.327249,STAR,M6III (148783)
9050884700153315930200060103,275.46447,25.472681,STAR,F3/F5V (30743)
9050885800153315930200060103,275.42773,25.556296,STAR,F3/F5V (30743)
9050875000153315930200060103,275.53846,25.497866,STAR,F8V (30562)
9050889300153315930200060103,275.40583,25.684345,STAR,K3V (32147)
9050842300153315930200060103,275.99797,25.41052,STAR,F3/F5V (30743)
9050841500153315930200060103,276.05043,25.36066,STAR,F6V (16673)
9050844800153315930200060103,276.07713,25.508043,GALAXY,
9050913400153315930200060103,276.12359,25.521625,STAR,G8V (75732)
9050913000153315930200060103,276.19953,25.520823,STAR,O8/O9 (167771)
9050961300153315930200060103,275.87629,25.713757,STAR,F3/F5V (30743)
9050915600153315930200060103,276.23544,25.671018,STAR,M5III (221615)
9007315200153315930200060103,276.37416,25.308088,STAR,F3/F5V (30743)
9007310200153315930200060103,276.56192,25.191327,STAR,B2III (35468)
9007313000153315930200060103,276.54515,25.305094,STAR,F6V (16673)
9007254400153315930200060103,276.82786,25.001064,STAR,F3/F5V (30743)
9007305300153315930200060103,276.87523,25.267186,STAR,B2IV-V (176819)
9007307000153315930200060103,276.79863,25.302553,STAR,F3/F5V (30743)
9007304600153315930200060103,276.98008,25.260894,STAR,WDhotter
9050898800153315930200060103,276.34465,25.453587,STAR,F3/F5V (30743)
9050899600153315930200060103,276.41058,25.506526,STAR,F3/F5V (30743)
9007322800153315930200060103,276.63997,25.465806,STAR,F3/F5V (30743)
9050919600153315930200060103,276.34523,25.654959,STAR,F3/F5V (30743)
9050906400153315930200060103,276.62689,25.618693,STAR,M5III (221615)
9050906300153315930200060103,276.64721,25.603983,STAR,M5III (221615)
9007344700153315930200060103,276.87511,25.486503,STAR,K5 (G_19-24)
9007331100153315930200060103,276.95045,25.412992,STAR,F0IV (81937)
9007332600153315930200060103,277.00917,25.486766,STAR,F3/F5V (30743)
9007329500153315930200060103,277.11518,25.445974,STAR,F6V (16673)
9007330000153315930200060103,277.11648,25.480922,STAR,F3/F5V (30743)
9007345800153315930200060103,276.90482,25.543709,STAR,WDcooler
9007333300153315930200060103,277.09767,25.516143,STAR,F6V (16673)
9051047000153315930200060103,275.45276,25.81296,GALAXY,
9051050700153315930200060103,275.41988,25.975978,STAR,F8V (30562)
9051051200153315930200060103,275.39926,26.021053,STAR,F3/F5V (30743)
9051059400153315930200060103,275.37614,26.077736,STAR,M3III (44478)
9050960000153315930200060103,276.10336,25.756018,STAR,F6V (16673)
9050918700153315930200060103,276.17667,25.735106,GALAXY,
9050964800153315930200060103,276.21383,25.873573,STAR,K3V (32147)
9051060100153315930200060103,275.3711,26.121929,STAR,WDcooler
