id,ra,dec,class,subclass
7027729700150095916300060103,18.799088,-1.8255727,QSO,BROADLINE
7027732000150095916300060103,18.789427,-1.7688852,STAR,WDcooler
7028394900150095916300060103,19.574053,-2.2125434,QSO,BROADLINE
7027633800150095916300060103,19.105149,-1.9881095,QSO,
7028433200150095916300060103,19.254127,-1.9254733,STAR,F0IV (81937)
7028438900150095916300060103,19.18186,-1.8191086,QSO,BROADLINE
7028433900150095916300060103,19.306678,-1.8787215,QSO,BROADLINE
7028403700150095916300060103,19.396172,-2.1091197,STAR,WDcooler
7028404000150095916300060103,19.389642,-2.0703622,QSO,
7028431000150095916300060103,19.414572,-1.995424,QSO,BROADLINE
7028409700150095916300060103,19.595334,-1.9968904,QSO,BROADLINE
7028408500150095916300060103,19.716478,-1.9703686,STAR,WDhotter
7028436900150095916300060103,19.465877,-1.7633364,QSO,BROADLINE
7028411300150095916300060103,19.664022,-1.8328995,STAR,F0IV (81937)
7028397500150095916300060103,19.953961,-2.147964,QSO,BROADLINE
7028397700150095916300060103,19.968857,-2.1167686,QSO,BROADLINE
7004128600150095916300060103,20.056567,-2.1512395,QSO,BROADLINE
7028400100150095916300060103,19.841395,-2.0541525,GALAXY,
7028400600150095916300060103,19.825399,-1.9755932,QSO,BROADLINE
7028408900150095916300060103,19.791457,-1.9444486,STAR,F8V (G_243-63)
7028409500150095916300060103,19.771174,-1.9091491,STAR,F0IV (81937)
7028411900150095916300060103,20.039779,-2.0650683,GALAXY,
7028414200150095916300060103,19.977198,-1.9060123,QSO,BROADLINE
7028421500150095916300060103,19.805958,-1.8835715,STAR,K5 (G_19-24)
7028421300150095916300060103,19.893698,-1.8510967,STAR,F3/F5V (30743)
7028424200150095916300060103,19.805941,-1.7577017,GALAXY,
7028418300150095916300060103,20.089592,-1.8309084,QSO,BROADLINE
7004139200150095916300060103,20.223495,-2.0210133,STAR,F0IV (81937)
7004142200150095916300060103,20.298369,-1.9074824,STAR,F3/F5V (30743)
7004142000150095916300060103,20.341663,-1.9254516,STAR,F3/F5V (30743)
7004141200150095916300060103,20.519784,-1.9123885,QSO,BROADLINE
7028417400150095916300060103,20.285143,-1.8390504,QSO,BROADLINE
7028419500150095916300060103,20.202197,-1.7791401,QSO,BROADLINE
