id,ra,dec,class,subclass
5638103000152865927500060103,113.44804,20.011266,GALAXY,
5744364400152865927500060103,113.23153,20.253285,STAR,K5 (G_19-24)
5744368900152865927500060103,113.18679,20.358705,STAR,WDmagnetic
5744380700152865927500060103,113.11303,20.456891,STAR,K0IV (191026)
5638117500152865927500060103,113.45036,20.227625,QSO,BROADLINE
5744371200152865927500060103,113.39573,20.364008,STAR,K5Ve (118100)
5638120600152865927500060103,113.59097,20.344907,STAR,M5III (221615)
5744442000152865927500060103,113.04159,20.693558,STAR,WDhotter
5744443300152865927500060103,113.17186,20.748027,STAR,M3III (44478)
5744420800152865927500060103,113.24953,20.772275,STAR,M5III (221615)
5744471700152865927500060103,113.1661,20.825102,STAR,G4V (32923)
5744375000152865927500060103,113.32693,20.463066,STAR,G8V (101501)
5744376600152865927500060103,113.33686,20.498352,STAR,F0IV (81937)
5744401700152865927500060103,113.50302,20.57078,STAR,K3V (32147)
5744397000152865927500060103,113.62778,20.511624,STAR,K0IV (191026)
5744420100152865927500060103,113.30728,20.754848,QSO,BROADLINE
5744404100152865927500060103,113.50266,20.655533,STAR,M6III (148783)
5744404300152865927500060103,113.57439,20.682508,STAR,WDcooler
5744404500152865927500060103,113.56323,20.708978,STAR,F2V (33256)
5744475900152865927500060103,113.0568,20.883481,STAR,WDhotter
5744474800152865927500060103,113.12408,20.851912,STAR,G8V (101501)
5744476400152865927500060103,113.1131,20.935606,GALAXY,
5744473900152865927500060103,113.25238,20.909927,STAR,G8V (75732)
5744477600152865927500060103,113.24447,20.976051,STAR,F3/F5V (30743)
5744479400152865927500060103,113.21639,21.012823,STAR,F2V (33256)
5744496900152865927500060103,113.04931,21.086213,STAR,WDhotter
5744498600152865927500060103,113.04611,21.193712,STAR,K0IV (191026)
5744497500152865927500060103,113.07694,21.120303,STAR,G1V (95128)
5744493300152865927500060103,113.13044,21.070355,STAR,F2V (33256)
5744473000152865927500060103,113.32078,20.877825,STAR,K3V (32147)
5744428000152865927500060103,113.44206,20.860676,STAR,K2III (115136)
5744485300152865927500060103,113.37179,21.062741,STAR,G8V (75732)
5744487100152865927500060103,113.40534,21.09697,STAR,G5III+... (157910)
5744431700152865927500060103,113.53086,21.032225,STAR,K0V (10780)
5744840500152865927500060103,113.61252,21.030352,STAR,F3/F5V (30743)
5744508800152865927500060103,113.17088,21.285463,STAR,WDhotter
5744715300152865927500060103,113.11985,21.403986,STAR,A4V (97603)
5744912600152865927500060103,113.38135,21.270196,STAR,K3V (32147)
5744894300152865927500060103,113.53238,21.160075,STAR,F8V (30562)
5744897900152865927500060103,113.49418,21.215772,STAR,F0IV (81937)
5744918700152865927500060103,113.26457,21.409711,STAR,F6V (16673)
5744914600152865927500060103,113.43352,21.355204,STAR,WDhotter
5744914700152865927500060103,113.4137,21.366893,STAR,CV
5745161800152865927500060103,113.28466,21.474228,STAR,K0IV (191026)
5744920400152865927500060103,113.38479,21.487438,STAR,F6V (16673)
5745167000152865927500060103,113.19908,21.562924,STAR,WDhotter
5745167500152865927500060103,113.21014,21.591894,STAR,K3V (32147)
5745175600152865927500060103,113.32751,21.663484,STAR,G9IV (100030)
5744923100152865927500060103,113.5788,21.514581,QSO,BROADLINE
5744930000152865927500060103,113.49262,21.622513,STAR,F8V (G_243-63)
5745178700152865927500060103,113.37117,21.75447,STAR,F6V (16673)
5745180200152865927500060103,113.39513,21.842428,STAR,K0IV (191026)
5637794900152865927500060103,114.3451,19.582114,STAR,K3V (32147)
5637779500152865927500060103,114.45128,19.553929,STAR,G4V (32923)
5637776800152865927500060103,114.55493,19.512861,STAR,K3V (32147)
5637779600152865927500060103,114.4873,19.569676,STAR,G4V (32923)
5638026900152865927500060103,113.6642,19.848131,STAR,F3/F5V (30743)
5638024900152865927500060103,113.7246,19.816894,STAR,G0Va (143761)
5638021300152865927500060103,113.77166,19.809275,STAR,F0IV (81937)
5638022300152865927500060103,113.83386,19.840612,STAR,F8V (30562)
5638029000152865927500060103,113.88993,19.830089,STAR,K0V (10780)
5638091200152865927500060103,113.67026,20.001588,STAR,M5III (221615)
5638090400152865927500060103,113.70219,19.984185,STAR,F6V (16673)
5638091600152865927500060103,113.67149,20.034673,STAR,G0Va (143761)
5638029900152865927500060103,113.94394,19.871061,STAR,G4V (32923)
5638029800152865927500060103,113.96535,19.870837,STAR,G5III+... (157910)
5638029700152865927500060103,113.99212,19.867091,STAR,K3V (32147)
5638038200152865927500060103,113.84431,19.997118,STAR,F3/F5V (30743)
5638033200152865927500060103,113.93283,19.966547,QSO,BROADLINE
5637800100152865927500060103,114.11517,19.64762,STAR,K3V (32147)
5637800500152865927500060103,114.15643,19.678418,STAR,K3V (32147)
5638011000152865927500060103,114.03071,19.815407,STAR,F3/F5V (30743)
5637797300152865927500060103,114.27438,19.627144,STAR,K5Ve (118100)
5637797600152865927500060103,114.35242,19.63677,GALAXY,AGN BROADLINE
5637798200152865927500060103,114.33311,19.674539,QSO,BROADLINE
5637802600152865927500060103,114.2103,19.704229,QSO,
5637802700152865927500060103,114.23208,19.699178,STAR,WDhotter
5638008900152865927500060103,114.15498,19.832097,STAR,F0V (90277)
5638049800152865927500060103,114.11678,19.942837,STAR,F0IV (81937)
5637830400152865927500060103,114.33789,19.83478,STAR,F0IV (81937)
5638043900152865927500060103,114.28093,19.911011,STAR,F2V (33256)
5638046200152865927500060103,114.30232,19.908085,STAR,F8V (30562)
5638092400152865927500060103,113.85679,20.067805,STAR,K0V (10780)
5638040000152865927500060103,113.98205,20.028995,STAR,F0IV (81937)
5638123000152865927500060103,113.93437,20.166726,STAR,G1V (95128)
5638115300152865927500060103,113.66493,20.229028,STAR,M5III (221615)
5638128300152865927500060103,113.7651,20.264772,STAR,O8/O9 (167771)
5638123600152865927500060103,113.94246,20.209761,STAR,F6II (61295)
