id,ra,dec,class,subclass
7011677900150145916500060103,37.372661,-0.14030049,QSO,BROADLINE
7011679700150145916500060103,37.312936,-0.05442498,GALAXY,
7011689700150145916500060103,37.342911,-0.059548386,QSO,BROADLINE
7011690100150145916500060103,37.347662,-0.013313085,QSO,STARBURST BROADLINE
7011689600150145916500060103,37.368057,-0.054461493,QSO,BROADLINE
7011688000150145916500060103,37.428274,-0.076483512,STAR,WDcooler
7011569000150145916500060103,37.643135,-0.36653979,QSO,BROADLINE
7011584400150145916500060103,37.974116,-0.5422581,QSO,BROADLINE
7011586700150145916500060103,37.885441,-0.513633,QSO,BROADLINE
7011587400150145916500060103,37.947934,-0.39818762,QSO,BROADLINE
7011584000150145916500060103,37.609613,-0.32879871,STAR,B0IVe (5394)
7011593200150145916500060103,37.67704,-0.34255722,QSO,BROADLINE
7011680500150145916500060103,37.682149,-0.2322433,STAR,F0IV (81937)
7011682600150145916500060103,37.570377,-0.12883248,QSO,BROADLINE
7011683400150145916500060103,37.652842,-0.10020689,STAR,F3/F5V (30743)
7011592200150145916500060103,37.800479,-0.3489623,QSO,BROADLINE
7011594900150145916500060103,37.844303,-0.2201099,QSO,BROADLINE
7011592800150145916500060103,37.888672,-0.29446051,QSO,BROADLINE
7011556500150145916500060103,38.252162,-0.61757568,QSO,BROADLINE
7011557400150145916500060103,38.23941,-0.55485188,QSO,BROADLINE
7011585400150145916500060103,38.036203,-0.49560321,QSO,BROADLINE
7011585300150145916500060103,38.068705,-0.47471151,QSO,BROADLINE
7011561300150145916500060103,38.392314,-0.49342861,QSO,BROADLINE
11754286600150145916500060103,38.394929,-0.45514539,QSO,BROADLINE
7011562100150145916500060103,38.284658,-0.43473169,QSO,BROADLINE
7011591700150145916500060103,38.110591,-0.19585399,QSO,BROADLINE
7011591200150145916500060103,38.220031,-0.23086581,QSO,BROADLINE
7011598200150145916500060103,38.058203,-0.14219352,QSO,BROADLINE
7011598300150145916500060103,38.043648,-0.13134351,QSO,BROADLINE
7011597600150145916500060103,38.073647,-0.17437452,QSO,BROADLINE
7011600800150145916500060103,38.022146,-0.047929804,GALAXY,
7011638100150145916500060103,38.256436,-0.09342538,QSO,BROADLINE
7011613500150145916500060103,38.46413,-0.30248381,QSO,BROADLINE
7011634900150145916500060103,38.418073,-0.18511048,QSO,
7011602700150145916500060103,38.765351,-0.48655141,STAR,WDhotter
7011603100150145916500060103,38.784613,-0.42916452,QSO,BROADLINE
7010178100150145916500060103,38.862334,-0.52595812,QSO,BROADLINE
7011606800150145916500060103,38.855967,-0.40431359,STAR,M6III (148783)
7010179200150145916500060103,39.015743,-0.51394919,QSO,
7010181100150145916500060103,39.00598,-0.4245529,GALAXY,
7010181200150145916500060103,39.016561,-0.39787929,QSO,BROADLINE
7011614500150145916500060103,38.699792,-0.24957848,QSO,BROADLINE
7011616500150145916500060103,38.656344,-0.15552012,QSO,BROADLINE
7011616300150145916500060103,38.7248,-0.1554568,QSO,BROADLINE
7011607600150145916500060103,38.874715,-0.33280761,STAR,F3/F5V (30743)
7011610300150145916500060103,38.852141,-0.2740719,STAR,F2V (33256)
7011608600150145916500060103,38.863899,-0.30306091,STAR,F3/F5V (30743)
7011626300150145916500060103,38.847954,-0.11642178,QSO,BROADLINE
7011621100150145916500060103,38.940683,-0.12532129,GALAXY,
7011621900150145916500060103,39.079115,-0.09143741,QSO,BROADLINE
7010190800150145916500060103,39.119155,-0.29107642,STAR,WDmagnetic
7011619200150145916500060103,39.140659,-0.17019391,STAR,WDcooler
7011619700150145916500060103,39.154558,-0.13694891,STAR,F3/F5V (30743)
7010193300150145916500060103,39.417196,-0.20865222,QSO,BROADLINE
7010194600150145916500060103,39.487206,-0.107187,STAR,F3/F5V (30743)
7010188500150145916500060103,39.565128,-0.17077801,STAR,CalciumWD
7010940000150145916500060103,39.647341,-0.031839083,QSO,BROADLINE
7011691400150145916500060103,37.42563,0.090124879,STAR,F3/F5V (30743)
7011716100150145916500060103,37.357456,0.25404679,QSO,BROADLINE
7011712100150145916500060103,37.403278,0.17813491,QSO,
7012064900150145916500060103,37.134726,0.5062555,STAR,M5III (221615)
7012065500150145916500060103,37.129722,0.5259682,QSO,STARBURST BROADLINE
7012066000150145916500060103,37.056889,0.5420253,QSO,BROADLINE
7012066100150145916500060103,37.081451,0.5517035,STAR,F0IV (81937)
7012067500150145916500060103,37.15276,0.6222717,STAR,G0Va (143761)
7011722000150145916500060103,37.157773,0.3709424,QSO,BROADLINE
7011723400150145916500060103,37.230697,0.35850628,QSO,BROADLINE
7011726400150145916500060103,37.156696,0.5028635,QSO,BROADLINE
7011726500150145916500060103,37.171185,0.5137532,QSO,BROADLINE
7011718100150145916500060103,37.431216,0.3709293,QSO,BROADLINE
7011724700150145916500060103,37.318479,0.4496299,QSO,BROADLINE
7011700100150145916500060103,37.336465,0.4976946,QSO,BROADLINE
7011769000150145916500060103,37.429529,0.5302497,STAR,F3/F5V (30743)
7012066600150145916500060103,37.160931,0.5555993,QSO,BROADLINE
7011728200150145916500060103,37.24245,0.5635589,STAR,M4.5:III (123657)
7012111600150145916500060103,37.231247,0.6951729,QSO,BROADLINE
7011771600150145916500060103,37.30555,0.5752338,QSO,STARBURST BROADLINE
7011694200150145916500060103,37.663648,0.13112382,STAR,G0Ib (204867)
7011693800150145916500060103,37.716283,0.13938979,STAR,F3/F5V (30743)
7011717600150145916500060103,37.476266,0.32968651,STAR,M1 (204445)
7011687500150145916500060103,37.794325,0.064752179,GALAXY,
7011687600150145916500060103,37.792879,0.094978519,STAR,F3/F5V (30743)
7011730400150145916500060103,37.852991,0.10309801,QSO,BROADLINE
7011737300150145916500060103,37.769371,0.23660039,QSO,BROADLINE
7011737500150145916500060103,37.890545,0.26316749,QSO,BROADLINE
7011761500150145916500060103,37.541133,0.3707862,STAR,WDhotter
7011763200150145916500060103,37.539472,0.4095787,QSO,BROADLINE
7011769800150145916500060103,37.564495,0.599476,QSO,BROADLINE
7011766300150145916500060103,37.687169,0.5832107,QSO,BROADLINE
7011774400150145916500060103,37.631607,0.6275098,QSO,BROADLINE
7011765000150145916500060103,37.788275,0.524276,QSO,BROADLINE
7011743900150145916500060103,37.99121,0.4534348,QSO,BROADLINE
7011767900150145916500060103,37.740884,0.6775912,QSO,BROADLINE
7011767700150145916500060103,37.811121,0.6830856,STAR,M5III (221615)
7011765600150145916500060103,37.905941,0.6183478,QSO,BROADLINE
7011780500150145916500060103,37.903475,0.7025558,STAR,F3/F5V (30743)
7012122200150145916500060103,37.012273,0.8806292,STAR,F3/F5V (30743)
12513554100150145916500060103,37.19759,0.722334,GALAXY,AGN
7012116200150145916500060103,37.163872,0.7730434,QSO,BROADLINE
7012116000150145916500060103,37.175153,0.7600601,QSO,BROADLINE
7012113700150145916500060103,37.293027,0.7441371,QSO,BROADLINE
7012121300150145916500060103,37.172783,0.8690601,QSO,STARBURST BROADLINE
7012113000150145916500060103,37.332726,0.7218751,QSO,BROADLINE
7012113500150145916500060103,37.391933,0.756867,QSO,
7012161800150145916500060103,37.140675,1.2190387,QSO,BROADLINE
7012169200150145916500060103,37.240893,1.2204954,QSO,
7012142000150145916500060103,37.40327,1.1412216,QSO,BROADLINE
7012178000150145916500060103,37.162339,1.281676,QSO,BROADLINE
7012179000150145916500060103,37.182527,1.3858593,QSO,BROADLINE
7012179200150145916500060103,37.287229,1.363339,QSO,BROADLINE
7011777100150145916500060103,37.589826,0.7673855,QSO,BROADLINE
7011775500150145916500060103,37.713035,0.7247242,QSO,BROADLINE
7012128800150145916500060103,37.56821,0.9490298,STAR,F3/F5V (30743)
7012141500150145916500060103,37.44447,1.0641059,QSO,BROADLINE
7012130900150145916500060103,37.547005,0.9871035,QSO,
7012131300150145916500060103,37.558619,1.0297705,QSO,BROADLINE
7012128200150145916500060103,37.631543,0.9550592,STAR,WDhotter
7012129700150145916500060103,37.708592,0.9786548,QSO,BROADLINE
7011786000150145916500060103,37.736455,0.8259701,QSO,BROADLINE
7011786200150145916500060103,37.770263,0.8412639,QSO,BROADLINE
7011786100150145916500060103,37.814243,0.8617158,QSO,BROADLINE
7011781100150145916500060103,37.927622,0.7589667,STAR,F6V (16673)
7011792700150145916500060103,37.848322,1.0262552,QSO,BROADLINE
7011790200150145916500060103,37.935868,0.943458,QSO,BROADLINE
7011792000150145916500060103,37.893541,0.9993602,STAR,F8V (30562)
7011790300150145916500060103,37.895999,0.9752904,STAR,F6V (16673)
7012143000150145916500060103,37.56396,1.1663274,STAR,WDhotter
7012147400150145916500060103,37.617886,1.2285383,QSO,
7012147500150145916500060103,37.643582,1.2203184,STAR,F0IV (81937)
7012139200150145916500060103,37.687204,1.2127681,QSO,STARBURST BROADLINE
7012148000150145916500060103,37.571984,1.2657515,STAR,F8V (G_243-63)
7012150800150145916500060103,37.460705,1.3462418,STAR,A2II (39866)
7012136000150145916500060103,37.763269,1.139062,STAR,A4V (136729)
7011793700150145916500060103,37.969858,1.0607371,QSO,BROADLINE
7012137900150145916500060103,37.870768,1.2139373,QSO,BROADLINE
7012909800150145916500060103,37.801464,1.3360956,QSO,BROADLINE
7012906700150145916500060103,37.960581,1.2733313,QSO,BROADLINE
7011728500150145916500060103,38.012596,0.076364394,STAR,F3/F5V (30743)
7011729000150145916500060103,38.049283,0.13401141,QSO,BROADLINE
7011648100150145916500060103,38.108311,0.108947,QSO,BROADLINE
7011647800150145916500060103,38.134409,0.098055886,QSO,BROADLINE
7011732900150145916500060103,38.12749,0.23294109,STAR,F3/F5V (30743)
7011734800150145916500060103,38.040962,0.33875898,STAR,WDhotter
7011734700150145916500060103,38.081345,0.35192321,QSO,BROADLINE
7011733900150145916500060103,38.193698,0.27854002,QSO,BROADLINE
7011643400150145916500060103,38.464426,0.084955122,QSO,BROADLINE
7011654000150145916500060103,38.378995,0.20192449,QSO,BROADLINE
7011660500150145916500060103,38.491734,0.1843535,QSO,BROADLINE
7011736200150145916500060103,38.067839,0.369341,QSO,BROADLINE
7011742300150145916500060103,38.004536,0.412387,QSO,BROADLINE
7011745400150145916500060103,38.017314,0.5504764,QSO,BROADLINE
7011755500150145916500060103,38.030916,0.5631121,QSO,BROADLINE
7011757000150145916500060103,38.119338,0.6835956,QSO,BROADLINE
7011746100150145916500060103,38.389576,0.36042942,STAR,WDhotter
7011749200150145916500060103,38.295558,0.5022824,QSO,BROADLINE
7011748300150145916500060103,38.355542,0.4874638,QSO,BROADLINE
